,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1921,100.50796968058178,23.303506583774208,170.64306055496007,10.041654379084841,11.839784947019355,52.558585919216995,78.55241984084307,192.5197314389162,253.04624217856804,193.181791930003,12.224957266973119,122.32818101167204,122.32818101167204,25.311334986885022,36.15904998126432,10.847714994379295,0.0,0.0,19.622589718149396,459.6915770913248,0.0,309.5637536740289,255.23823072059162,249.6980286903441,1505.2999793184206,0.0,68.07701698459088,1014.2474564919114,0.0,0.0,539.0083781718376,265.9072580820968,1376.375000091,15.423163083456991,826.4538531012366,9443.86458080175,369.028315436585,37.48181003832043,509.62034053548604,53.01881720780645,51.27320788869463,317.1154122073463
1922,563.0284982908208,447.37613530438534,1026.3741327506655,263.56286708615204,79.15702284189507,406.0251207976073,404.0557316343161,1175.289504942144,1030.9157408874485,1359.92351957348,171.11221081223312,365.515791690833,365.515791690833,115.82009408010776,165.45727725729682,49.637183177189044,42.157208837912705,23.608036949231114,293.8459995215235,1596.7203916487415,49.340797223893034,1241.3768228948386,802.7432552826604,362.0861689374331,2188.840013158158,0.0,707.4519536954949,3503.321428266802,0.0,0.0,1193.112748123329,572.6617184844569,1110.9952819809894,42.07717428268343,447.7600424347077,19436.340503643376,643.5698183765323,229.93120312578753,1121.5361170347278,341.92491666865226,170.78201676433505,236.34872421941782
1923,553.6862888899545,435.885753831599,985.7808095133059,277.941016176093,76.78058714604711,405.3614335866353,465.04480767552184,1130.9678435853714,985.8755599151956,1328.7228285175797,165.5826391684579,701.6781297358694,701.6781297358694,112.58115489624699,160.83022128035284,48.24906638410585,45.00113024192391,25.200632935477387,249.4028386511915,1617.0955324888173,52.669322835147746,1241.3768228948386,966.2624705296166,506.36529330179883,2236.846096793948,0.0,617.3769036212349,3527.29568615639,0.0,0.0,1734.1570983357203,988.108606651504,1655.9690540037313,69.6293250160939,665.3825286627342,20688.40796311072,1030.2822514316924,259.06112037751467,1228.8335084974797,344.9257949687087,206.67760937908838,240.1726126365962
1924,530.8869388529434,331.14169753996066,881.0015116655934,291.8799756581087,55.10631939201175,370.56927708420676,328.82598733097507,1447.3377727796146,786.6374580112326,1248.3535156252915,120.787606952792,518.8975811460573,518.8975811460573,80.70956839541248,115.29938342201783,34.58981502660534,17.509053429712115,9.805069920638783,61.30104887984566,270.760576753577,20.49259613413506,75.95026922881183,243.5382351230119,122.70430375217789,2469.8242824745043,1111.9999886294274,214.61307156246002,1798.3168117065914,0.0,0.0,450.03806738186796,266.38628446107197,448.3764404193545,17.19113976075461,180.77008005110156,5961.319082756616,264.8075375177467,62.60415630131503,299.87083481047773,58.06668968716767,54.58038731656205,40.12834166606196
1925,555.9372921583907,444.2356648234018,996.4033789830476,222.29929087981725,74.32952069352291,400.2910925224056,327.9719735592674,1191.625561453394,882.1713422402944,1338.4788961609552,167.70106507076088,340.05235703359534,340.05235703359534,99.85495820875434,142.64994029822049,42.794982089466146,43.11291076539813,24.14323002862295,206.86324177857452,631.4397849781276,50.459350759821966,1165.4265536660268,356.8145522316445,180.30154668522098,2479.9672074251016,247.99999610519671,519.7500086242397,2511.963817169557,0.0,0.0,658.005189942021,387.43518234325666,648.7426872405848,25.21575213284491,261.6409097897426,10748.568203222785,387.0781797590204,96.71993108069746,474.51246272907326,135.04380970285553,79.62527597379481,93.32517773680526
1926,536.6895864147192,421.7565548158024,905.735281749929,218.4105229285306,74.32167992313282,376.30381852354236,435.7219629659735,1473.8582944875775,752.8752634945856,1266.7693846159298,128.92910254028882,378.26995646045503,378.26995646045503,87.86058547308222,125.51512210440318,37.65453663132095,43.209055897972064,24.197071302864355,83.59854219840493,695.9595007310045,50.57187902298651,75.95026922881183,413.99837090040035,214.78116142951075,2442.563616095824,0.0,266.35455646011985,2154.0033336750475,0.0,0.0,745.9279846807021,427.4722383209244,714.910511192738,29.724403326558658,288.3180081513834,12100.861219616381,442.46861374135506,110.0126223026227,530.2029212631109,148.82266693286437,89.38379131454259,102.84737873831807
1927,559.4859215628834,446.2796047580951,1012.086214818508,225.43694059535883,79.20110644589005,403.4757720457844,479.0073034390514,1208.6215668296065,954.5975388813156,1349.7178023423937,170.16495281169944,441.6370755501925,441.6370755501925,111.74428347340967,159.63469067629953,47.890407202889854,43.93055128947182,24.601108722104218,257.71284064811744,1830.4821166337638,51.41631722919782,1165.4265536660268,937.1272700114399,436.5702768737306,2169.728318748484,0.0,632.5093621861664,3435.755490435294,0.0,0.0,1151.6401397216096,469.54271479068905,940.9215021946768,43.539434108286,379.20937597137714,20611.907618293208,688.5539816126236,297.1682635916749,1275.402847119767,391.69481466083687,182.13825290905982,271.8655480443729
1928,561.0751048453457,446.6363345863521,1021.5471498574336,246.79732863178504,79.00800806356008,404.83200676702677,499.4813119681292,1169.9708723153321,988.5111783068553,1355.4517661426844,171.17775625752557,762.2137616784747,762.2137616784747,103.84817206715682,148.35453152450975,44.50635945735292,44.278892193839255,24.796179628549982,245.1544463623669,1370.777767870462,51.82401542366947,1079.6485207229275,918.2038666806064,494.0548068879136,2175.05002220758,0.0,579.6365599659301,3405.047112958587,0.0,0.0,2124.951786234963,1317.0200385897015,2197.3271080106806,83.70013746720981,885.4979683736018,20066.719166458453,1142.58812810774,174.1042161922738,1123.4104498599763,293.73355569515473,219.0602506978804,202.26048052539838
1929,517.1474235789797,402.49468100326436,814.8424358025864,269.95237416873096,55.10567330059851,354.4532591974187,351.1803716345928,1374.6022359149829,628.144976303923,1197.9658971584076,96.31725201558265,558.3051753584134,558.3051753584134,69.43398925178795,99.19141321683993,29.757423965051977,27.34285734073625,15.312000110812297,23.45413297685641,596.373346563349,32.00208023159771,75.95026922881183,426.8227953032027,266.3633773858038,2451.758994306365,0.0,127.8111292018228,1702.9615269950552,0.0,0.0,596.4091699062149,534.9388449227768,778.888140246208,36.22064661394424,314.2021827135356,11128.704180188079,578.8013256283732,127.53464482833775,497.5165493611978,128.2587406544879,87.29689460292528,74.20233801074261
1930,529.2861817544597,419.1972216603284,873.7023012872953,234.68313624671995,74.32952069352291,370.6687544867342,341.6088022363384,1488.373804336994,801.7279372318092,1244.9367314042381,124.43855083714163,340.05235703367384,340.05235703367384,82.34366380318963,117.63380543312805,35.29014162993841,25.783097116482892,14.438534385230419,75.09744434443833,275.9517966106436,30.176536865131578,0.0,154.70237880435064,76.22902121371672,2479.9672074251016,0.0,243.32001460526777,1736.7072576305611,0.0,0.0,291.13694608489794,169.33164624160088,283.52144517482753,10.779654468939391,114.34993726067329,4711.68719969315,170.15422961730468,42.706253679051656,212.524854717275,59.01590366008193,35.51949421961974,40.784318144564764
