,"Chosen_Family_(A,C,E,F)"
D_ESB433_MWDSC_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB433_MWDSC_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB433_MWDSC_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_PRRIS_MWDSC_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_PRRIS_MWDSC_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_PRRIS_MWDSC_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_WSB031_MWDSC_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_WSB031_MWDSC_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_WSB031_MWDSC_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB403_MOJVE_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB403_MOJVE_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB347_PLMDL_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB347_PLMDL_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB347_PLMDL_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB355_LROCK_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB355_LROCK_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB414_BRDNO_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB414_BRDNO_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB414_BRDNO_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB415_GABRL_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB415_GABRL_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB415_GABRL_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB420_GRGNO_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB420_GRGNO_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_ESB420_GRGNO_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_CSTIC_VNTRA_PMI,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_CSTIC_VNTRA_PCO,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
D_CSTIC_VNTRA_PIN,"A=CALSIM, C=FLOW-DELIVERY, E=1MON, F=L2020A"
