,Butte County,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1921,0.0,69.05060977417314,55.00046876618404,128.05067941805555,46.81217285349534,57.99222917549228,25.435666011578668,81.11244809737676,0.0,130.66610106100813,146.77093784237044,0.0,122.32818101167206,12.465000380117969,36.20785824700934,0.0,10.684286040101115,0.0,0.0,65.61046092755042,459.6915770913248,0.0,0.0,280.912992850114,249.6980286903441,506.2999793184206,793.6075970639619,37.35387097021162,1090.8029701715627,75.10456989743872,140.32096775121292,539.0083781718376,265.9072580820968,1376.375000091,15.423163083456991,826.4538531012366,7408.935170740743,386.27298389650645,42.90837813903764,509.62034053548604,53.01881720780645,51.27320788869463,264.1779122038463
1922,0.0,345.9485711719204,294.0027685384054,677.5316155928564,247.99913323537487,243.14136159425803,145.21788192132595,432.91578232921376,0.0,638.1576751932164,842.5212439261072,0.0,365.51579169083294,57.33105651116289,166.53306891337795,0.0,49.140905580996765,42.46215919635581,23.778809149959255,321.47169105185066,1571.9063759747858,49.69771112341485,0.0,794.2205527112926,358.2908663302283,2188.8400131581643,3616.4461709433654,136.21729503588784,3010.1489727163907,182.99166964553933,467.7879399546887,1209.4604641281653,589.2061130037074,1137.9836230372725,42.61358819675132,458.5700298504944,20587.306898588664,674.9160441707332,249.83959436858134,1107.584412892318,336.54942821851455,170.4263547941025,195.0646805691016
1923,0.0,345.9485711719204,294.0027685384054,677.5316155928565,247.99913323537487,243.14136159428168,145.21788192132593,564.8569827043777,0.0,638.1576751932164,842.5212439261072,0.0,706.7079440268992,57.02330107892953,165.63911265784293,0.0,48.87711521051103,45.00113024192391,25.200632935477387,296.6781529924178,1440.8581182259338,52.669322835147746,0.0,896.3351092975699,473.938509639415,2236.8460967939536,3616.446170943365,135.2117923765463,3104.844603631801,296.39147248292727,534.4730454455635,1779.0683654320108,1051.8488395344325,1756.4628538369411,70.8012915249283,707.425252113628,21022.015523379574,1060.7023804040193,238.42575589181467,1124.425741364818,308.1314529248912,199.86495293623076,178.47532709192313
1924,0.0,324.14396670695623,264.4973979775573,661.0356812715835,247.58463946297954,242.61418030688577,124.05428943038599,347.50536373023203,0.0,396.1503732200763,841.4393347265045,0.0,520.1053404053964,31.901521321341217,92.66632383818163,0.0,27.344161132578186,20.195629839895133,11.309552710341276,102.0749750989647,422.4029989804435,23.63696516461327,0.0,344.6864268392943,226.05877566715822,2469.8242824745107,3383.8231880310477,74.78826113945614,1445.6404512019124,151.4542531653268,163.62980240895402,697.1115990672633,478.67274920624055,648.7329695944118,33.078189511601025,261.52040375156713,6993.318267086262,548.4861615287839,112.4548772814848,380.2554765145635,90.33902016301886,69.8434170536934,52.3347092185471
1925,0.0,342.30443226630007,291.34594724406935,677.5316155928564,247.99913323537487,243.14136159425806,144.30607877981444,356.05555916294634,0.0,613.0462457138025,842.5212439261072,0.0,339.96142306310423,44.02413305877533,127.87962459929975,0.0,37.73497119323599,43.0972971747355,24.13448641785188,211.20766392308067,645.0911188422544,50.44107661331043,0.0,373.08259981760654,190.88209148413532,2463.260662612169,3570.4850096455048,105.28723630095101,2002.03898978226,113.52333396157226,218.2422480504477,680.7789595000204,395.82008078406716,662.7675425041273,26.55262623430913,267.2982262253656,9014.857632523923,420.58633848154454,111.22951358565712,487.7827174851132,137.9628770757461,82.03774432832049,79.92390266890457
1926,0.0,345.9485711719204,290.5243081464179,677.5316155928565,247.99913323537487,243.14136159425567,145.21788192132595,429.1135443861471,0.0,583.5694756168521,842.5212439261072,0.0,378.15103201103,44.64582262046314,129.68548475467867,0.0,38.267847960396985,43.386809525530424,24.29661333429704,216.03994114128224,998.2380193820792,50.779921868680816,0.0,570.1282812891078,288.2836756299191,2457.6492507634875,3391.173869420473,105.96484854966478,2259.960376038053,164.17028098854428,332.2242648695138,1006.3718964338569,577.3740453217843,943.1083151353693,39.57626940709122,372.4844113999535,13930.439936011388,613.0475650657518,167.17985508530387,739.3368721676262,214.00156765493907,123.58033056107547,123.70447672102156
1927,0.0,345.9485711719204,293.68497324246806,677.5316155928564,247.99913323537487,243.14136159425803,145.21788192132593,535.7678684556465,0.0,632.5779473621751,842.5212439261072,0.0,441.63707555019244,52.96165084593538,153.8409857905742,0.0,45.395700725087465,43.94142343576671,24.607197124029355,265.46394865586785,1425.4610976230315,51.42904198922135,0.0,811.0926654691202,390.51167769775543,2183.7298468685854,3570.4850096455048,126.21436877358423,2859.193486235328,224.1416671453244,471.14500521231184,1392.056895613586,702.8661409606975,1354.0849174967448,52.20422726091688,552.8299891410585,19769.30687753669,759.5592344681613,222.0910467116279,1058.9887674066947,305.0271648544043,174.77309331197085,176.15892772913793
1928,0.0,345.20636264195934,293.57790281535813,676.5309458027468,247.58463946297954,242.61418030689975,145.10930568183971,622.201190085459,0.0,637.1448575805434,841.4393347265045,0.0,764.4734799356012,50.8202288737344,147.6206648237047,0.0,43.56019617748663,44.322456530759695,24.820575657225426,251.870013812411,1414.4832399046775,51.87500312360115,0.0,850.5307382820866,445.53969270745455,2185.022383579215,3609.09548955394,120.17077508130251,2796.0029393372483,266.231195990878,482.63976420687356,1542.0434537422152,882.7761742189068,1475.2558804658722,61.80408075085923,594.4885295600618,20181.61324036263,954.2517437602849,247.83505344735676,1081.8038014011827,303.03479068459046,183.13846884264473,174.93749360267654
1929,0.0,345.9485711719204,267.4934826595896,664.6316552632817,247.99913323537487,243.14136159425806,130.2559117519375,419.866113693993,0.0,415.8840150436931,842.5212439261072,0.0,553.8369027380501,32.687779853353106,94.9502176692638,0.0,28.018097017159807,27.73838879957241,15.533497727760547,106.83730153064835,533.2383804474639,32.46501025101955,0.0,399.4473175495889,251.87216458175797,2422.7994723152133,3391.1738694204732,76.84572139914297,1546.5939562097053,164.91561575090498,195.1959041433877,779.3688684528978,524.3818665782123,729.5695343905152,36.04749940197365,294.1406506130544,8412.031522881847,603.205311160028,132.56913256182614,458.74795365957857,114.04057892958733,81.61636952654254,66.06536717605324
1930,0.0,345.9485711719204,285.6010658843466,676.1795925922526,247.99913323537487,243.1413615942726,144.56736590785314,356.2788076746487,0.0,543.1308110274999,842.5212439261072,0.0,339.9685158094187,41.551262675517684,120.696524914599,0.0,35.61536800758659,25.407652234216016,14.228285251160967,184.25544097824994,788.2377167398892,29.737116174926427,0.0,455.0191584183915,231.78723123871535,2479.9672074251016,3428.1217144628395,99.22922413153198,2015.704397306479,135.60172097717333,265.43301177068054,816.9821296510131,472.253992702104,780.8765589228308,32.09003881437535,312.1876853950179,11038.785747786837,502.6810724097046,134.66080949803683,591.2519275176397,168.66020762305072,99.22239481744353,97.61411435845994
