Demands,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Single Dry-Year Demands (ac-ft),Central Valley - San Joaquin Valley,City of Tracy,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Central Valley - San Joaquin Valley,Kern County Water Agency,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Central Valley - San Joaquin Valley,Stockton-East Water District,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2,2,2,2,2,
Single Dry-Year Demands (ac-ft),San Francisco Bay Area,Alameda County Water District,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),San Francisco Bay Area,Contra Costa Water District,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),San Francisco Bay Area,East Bay Municipal Utilities District,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),San Francisco Bay Area,"San Benito County Water District, Zone 6",2,2,2,2,2,
Single Dry-Year Demands (ac-ft),San Francisco Bay Area,Santa Clara Valley Water District,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Central Coast,Santa Barbara County Flood Control & Water Conservation District,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Southern California,Antelope Valley-East Kern Water Agency,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Southern California,Santa Clarita Water Division,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Southern California,Coachella Valley Water District,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Southern California,Crestline-Lake Arrowhead Water Agency,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Southern California,Desert Water Agency,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Southern California,Metropolitan Water District of Southern California,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Southern California,Mojave Water Agency,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Southern California,San Bernardino Valley Municipal Water District,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Southern California,San Gabriel Valley Municipal Water District,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Southern California,San Gorgonio Pass Water Agency,2,2,2,2,2,
Single Dry-Year Demands (ac-ft),Southern California,Ventura County Watershed Protection District,2,2,2,2,2,
Multiple Dry-Year Demands (ac-ft),Central Valley - Sacramento Valley,City of Folsom,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - Sacramento Valley,City of Redding,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - Sacramento Valley,City of Roseville,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - Sacramento Valley,City of West Sacramento,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - Sacramento Valley,Yuba City,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - Sacramento Valley,El Dorado Irrigation District,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - Sacramento Valley,Placer County Water Agency,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - Sacramento Valley,Sacramento County Water Agency,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - Sacramento Valley,San Juan Water District,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - Sacramento Valley,Shasta Contractors,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - Sacramento Valley,Solano County Water Agency,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - San Joaquin Valley,City of Avenal,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - San Joaquin Valley,City of Coalinga,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - San Joaquin Valley,City of Fresno,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - San Joaquin Valley,City of Huron,3,3,3,3,3,
Multiple Dry-Year Demands (ac-ft),Central Valley - San Joaquin Valley,City of Lindsay,3,3,3,3,3,
