Year,Butte County,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1966,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,36884.14911,0,38526.79188,50864.60898,0,44376.45745,3089.847065,8975.270047,0,2648.440342,2705.582175,1515.126018,15462.10915,102586.8898,3166.613378,0,52273.07967,24160.77146,134436.2804,218331.7296,7324.707081,177946.7902,12176.46152,30199.18062,70866.77908,31574.95105,62800.52836,2595.100577,31152.70898,1355044.987,42401.23581,18518.18653,71893.87466,21893.89895,10595.25288,12814.29713
1967,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37240.91269,0,38526.79188,50864.60898,0,44261.6978,3413.273453,9914.746695,0,2925.662959,2608.7959,1460.925704,19515.73975,108021.3989,3053.334721,0,63724.94488,33197.86773,128282.4054,218331.7296,8126.560193,195035.3754,19300.80091,34934.41625,108592.7808,60732.75727,101379.863,4382.993189,40842.81784,1519831.202,69136.65255,19612.52304,81521.44153,23093.44242,13371.96794,13469.45494
1968,0,20840.76429,17723.85603,40843.45917,14947.1553,14647.07923,8760.524612,35384.83986,0,38465.64615,50799.29207,0,44017.2123,3454.252333,10033.78059,0,2960.787714,2210.289347,1237.762034,17987.79416,75360.11153,2586.922652,0,51259.99882,27840.2569,134210.1228,213201.1274,8215.038083,188325.4203,19004.8047,33303.61891,120288.8342,75030.67912,124573.844,4759.673882,50189.4587,1168549.68,67950.01048,10869.54852,62213.50337,16130.63242,12249.58705,9332.60857
1969,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37241.06115,0,38526.79188,50864.60898,0,44261.6978,3461.184858,10053.91792,0,2966.729878,2580.341419,1444.991194,19771.91649,134509.8199,3020.031597,0,71444.34705,37004.7496,127437.1066,217375.5,8223.697027,221250.3837,18283.12212,41259.46119,118518.4447,43446.35206,93068.1,3640.382292,37385.39131,2049137.703,62772.26111,25778.44206,99542.78501,34131.44712,13800.65018,16859.33751
1970,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37938.03009,0,38526.79188,50864.60898,0,48172.91046,3461.184858,10053.91792,0,2966.729878,2714.912632,1520.351074,19564.84507,100946.0965,3177.533745,0,60468.81863,31421.40574,125501.8279,218331.7296,8223.697027,202534.8985,17639.00388,34608.79109,102735.0065,56079.18083,112530.8229,3952.076959,45253.72411,1494781.223,61252.35487,16945.28758,82797.17461,26952.73193,12871.17887,12605.96323
1971,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37803.67027,0,38526.79188,50864.60898,0,48172.91046,2970.151194,8627.582038,0,2545.84388,2686.733398,1504.570703,14748.82883,61119.37728,3144.55277,0,43058.90695,24949.58567,125501.8279,218331.7296,7034.929503,157524.3305,16945.19489,26618.37235,99608.43578,66345.06512,100116.3155,4145.400614,39882.6301,959903.4312,63185.51747,10691.36592,51207.05453,13067.29386,10001.52216,7553.354645
1972,0,20840.76429,17723.85603,40843.45917,14947.1553,14647.07923,8760.524612,36600.93043,0,38465.64615,50799.29207,0,44017.2123,2913.070211,8461.775376,0,2496.917324,2330.373033,1305.008899,14320.40555,83465.33274,2727.468598,0,47721.29194,23003.6148,134210.1228,217887.955,6928.494055,161273.1443,13274.48088,27810.99806,82866.34155,42037.4502,81010.12198,3107.271604,33076.8252,1162117.523,45033.04284,12904.90689,62246.08911,17882.55278,10336.54053,10322.432
1973,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37064.72443,0,38526.79188,50864.60898,0,42600.74961,3399.390531,9874.420113,0,2913.763312,2644.502485,1480.921392,18099.63253,95383.48839,3095.125708,0,54831.26701,28401.19852,133473.3405,218331.7296,8098.413601,182423.6596,15946.68432,29096.91264,87079.08306,47171.46481,78915.11899,3533.794487,31756.18735,1317350.003,57079.38931,17904.87128,70809.45709,20378.92612,11211.076,11853.23337
1974,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37821.8686,0,38526.79188,50864.60898,0,46461.75492,3461.184858,10053.91792,0,2966.729878,2667.796953,1493.966294,19810.20461,86084.29292,3122.389554,0,53801.50087,28479.66226,126108.1982,218331.7296,8223.697027,188099.9338,17891.65448,32220.99183,107689.4147,63873.20789,106585.988,4284.384956,42942.67852,1260194.96,64023.9695,14153.79693,67382.37749,18417.91903,12036.53883,10649.21823
1975,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,36543.88138,0,38526.79188,50864.60898,0,46511.96227,3429.252388,9961.161699,0,2939.35919,2670.427015,1495.439128,18230.80519,96885.01108,3125.467779,0,55704.49005,28890.96912,132140.1123,218331.7296,8098.323002,183139.435,16174.51736,29343.9816,87654.24893,47371.82602,78975.09769,3570.049395,31798.88447,1337978.695,57910.71707,18317.04008,71915.74567,20704.51956,11342.07135,12039.9688
1976,0,19569.18741,17362.84473,40828.71389,14947.1553,14647.07923,8760.524612,22621.88127,0,34070.56167,50799.29207,0,33370.52148,2687.841409,7807.539332,0,2303.864065,1646.283897,921.9189821,11335.50479,75501.90766,1926.810673,0,48545.23114,26043.1033,145600.5931,204287.8379,6359.596311,154816.8625,16720.16291,29407.79469,101056.5637,60941.06952,101558.773,4039.289992,40927.30921,1125416.501,59820.5573,12238.8872,60125.02439,16177.06349,11005.45728,9337.862129
1977,0,17991.1667,15952.59517,39910.56964,14972.17908,14678.90617,7475.447751,11720.82549,0,23471.17723,50864.60898,0,11948.73384,1533.429265,4454.246911,0,1314.367941,554.2163936,310.3611804,4641.139957,4358.538871,648.654867,0,4291.466687,2166.872122,155157.9014,188356.7328,4312.330998,67780.10779,1288.361194,2204.93403,7918.849827,4663.804759,7879.10623,303.2158498,3176.540834,104891.8796,4871.016138,1237.250734,5708.614308,932.1307945,957.5701401,539.9969359
1978,0,20445.56563,17588.35188,40803.5413,14972.17908,14678.90617,8711.190545,27953.40401,0,37066.73505,50864.60898,0,24337.02396,3263.414381,9479.441774,0,2797.212327,2517.32146,1409.700018,18461.21124,116777.1191,2946.273037,0,57256.61312,25864.87971,134094.0477,212782.2042,7822.732057,183259.8618,11962.60295,30413.98103,70948.63102,29962.62671,60013.44052,2548.550586,24186.17256,1491560.837,43928.28585,20567.16807,80480.80756,25013.11531,11421.06092,14593.84212
1979,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,35246.35637,0,38512.97775,50864.60898,0,43668.43442,3420.212299,9934.902392,0,2931.610542,2717.367357,1521.72572,17781.71273,80459.05704,3180.406754,0,54765.33995,29703.86281,134436.2804,218331.7296,8072.367879,191093.7393,20252.64256,35627.72229,128302.3342,80000.11285,134740.0127,5075.301893,54298.53451,1248250.678,72453.14538,11583.3221,66498.23597,17242.83761,13094.11191,9953.05733
1980,0,20840.76429,17723.85603,40843.45917,14947.1553,14647.07923,8760.524612,36835.63254,0,38465.64615,50799.29207,0,42298.98368,3454.252333,10033.78059,0,2960.787714,2591.493634,1451.236435,19744.10881,112675.4721,3033.084149,0,61142.05932,32264.82579,132389.7691,217887.955,8215.038083,196060.28,15810.1575,33686.39685,88680.99356,38333.54641,81632.74432,3208.653797,32837.8333,1682879.094,55322.74845,23388.20219,84807.35205,29493.68286,11731.46802,14105.76731
1981,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,36769.45051,0,38526.79188,50864.60898,0,42665.30191,3083.600898,8957.126418,0,2643.086484,2740.931458,1534.921617,15466.32158,56934.62176,3207.986179,0,43084.92758,25401.14856,135042.6507,204731.6125,7300.599604,163283.6418,18110.34645,28017.4287,109638.6321,74267.87254,113194.9625,4533.581143,45181.6744,939573.317,67148.46095,9175.954016,49980.96768,12195.23765,10434.41156,7049.506733
1982,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37241.06115,0,38526.79188,50864.60898,0,44261.6978,3413.1826,9914.48279,0,2925.585086,2572.851721,1440.796964,19519.74799,134121.9691,3011.265655,0,69502.30336,32673.11361,127437.1066,215556.9669,8126.375996,199244.4131,16392.14835,35240.51274,96940.26186,36457.73854,88628.93164,3313.610485,36130.64428,1802236.928,55101.15112,24264.00526,94386.14437,34309.90072,13550.42692,16757.13482
1983,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37938.03009,0,38526.79188,50864.60898,0,48172.91046,3461.184858,10053.91792,0,2966.729878,2708.055685,1516.511184,19966.03597,134505.6276,3169.508374,0,76805.49342,39401.66297,125501.8279,218331.7296,8223.697027,238093.1108,20767.48611,43157.95504,142190.6752,59358.04496,121207.5912,4438.636895,48374.18766,2144129.966,71622.51161,25040.96232,105394.3045,34135.21123,15709.24352,58051.33407
1984,0,20840.76429,17723.85603,40843.45917,14947.1553,14647.07923,8760.524612,37698.37882,0,38465.64615,50799.29207,0,47813.66531,3454.252333,10033.78059,0,2960.787714,2731.703137,1529.753757,19067.75369,100764.8122,3197.185352,0,60434.90506,31915.9915,125275.6702,217887.955,8215.038083,208834.4648,17497.57489,34242.493,111103.0633,55641.86319,97405.16671,3922.039648,39212.74998,1505348.892,60834.21008,17561.33723,78047.00104,21536.5525,12786.91013,12565.04607
1985,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,34353.77839,0,38526.79188,50864.60898,0,44376.45745,3036.727683,8820.97089,0,2602.909443,2668.985245,1494.631737,15096.76592,85785.616,3123.78033,0,55164.64911,29327.6587,134436.2804,218331.7296,7196.107776,176952.342,19065.95148,34381.24473,118274.1099,71638.62815,119763.718,4672.844003,48264.70508,1283765.616,68341.84374,13272.76845,68489.90541,18377.68075,12734.05887,10609.98418
1986,0,20885.57283,17749.50598,40903.8715,14972.17908,14481.71608,8767.079566,37238.21476,0,38526.79188,50864.60898,0,44261.6978,3406.419789,9894.838435,0,2919.788391,2664.728548,1492.247987,19252.87941,96504.6997,3118.798292,0,55460.174,28761.55307,127437.1066,218331.7296,8112.6649,187354.9206,16254.60023,30838.21469,95862.07819,46738.71416,92273.31578,3536.816717,37184.80943,1375469.791,57512.66623,18956.51613,76037.02582,26082.69101,11303.64944,12000.80015
1987,0,20885.57283,17730.70205,40897.4422,14972.17908,14678.90617,8767.079566,31240.68723,0,38081.24486,50864.60898,0,43718.736,2752.753876,7996.094591,0,2359.503322,2273.033033,1272.898498,13394.67621,41537.80821,2660.357862,0,31714.47281,19323.99365,141973.4134,204731.6125,6501.267301,133496.6746,13519.17594,18640.65576,74410.46421,50442.28801,76172.04061,3191.238413,30710.89829,676676.4487,49711.59606,8267.992655,36703.57621,8883.061062,7263.59842,5146.086562
1988,0,20840.76429,17543.75076,40843.45917,14947.1553,14647.07923,8760.524612,16128.20626,0,35373.35932,50799.29207,0,14206.50691,2598.613959,7548.354833,0,2227.383393,1526.067745,854.597937,10279.41729,19753.46248,1786.109688,0,13220.27398,7247.840047,150848.1134,187946.2413,6177.455249,104309.5722,4321.34055,6687.754555,22642.35854,12126.79496,20292.84453,979.5818558,8183.958955,297959.2083,14292.87479,3695.846586,15567.2416,4224.324473,2655.463464,2447.21265
1989,0,20885.57283,17668.86923,40903.8715,14972.17908,14678.90617,8765.061771,20279.30009,0,37605.56982,50864.60898,0,20524.32038,2545.243923,7393.327585,0,2181.637648,1617.577668,905.8434941,10358.88278,83374.3541,1893.212903,0,44510.82513,20523.67326,144940.1486,205240.0726,5963.048871,146045.0993,11319.40805,27387.73581,77227.17181,39741.47795,75631.52715,2768.96555,30477.07912,1128915.35,40573.17039,12199.87567,60367.64589,17867.18073,9935.695513,10313.44597
1990,0,20885.57283,16301.51754,40718.00039,14972.17908,14678.90617,8220.061994,23533.51735,0,26217.52028,50864.60898,0,31469.57816,2422.260116,7036.088907,0,2076.222956,1171.436895,656.0046611,9098.65857,21956.11126,1371.049742,0,18466.656,10939.87927,147597.9178,189592.7127,5709.798547,101174.9804,6504.702478,8235.167672,36117.42833,23541.15809,32847.91487,1530.806528,13241.93008,367981.6011,24590.33939,6245.313489,20009.52461,4695.627319,3622.780429,2720.245249
1991,0,20767.9377,15853.28795,39921.05269,14972.17908,14678.90617,7451.66454,13128.60329,0,22685.49654,50864.60898,0,11948.73384,1829.477709,5314.197155,0,1568.123751,1877.072904,1051.160827,5450.100503,18973.99945,2196.926127,0,11578.1884,6083.014912,155157.9014,185581.9701,4312.330998,76564.93616,3622.758133,6422.692181,20624.54106,11645.00124,19495.67024,836.7406385,7863.66266,272556.9503,12846.33786,3370.851686,14561.76464,4057.70319,2463.078086,2350.686516
1992,0,20840.76429,15801.55539,39861.60386,14947.1553,14647.07923,7413.003776,15612.95565,0,22421.75107,50799.29207,0,11919.01688,2271.764355,6598.934554,0,1947.22659,1461.002086,818.1611682,8265.179714,27132.81424,1709.956842,0,15780.06557,8096.009743,154065.6469,185204.7617,5375.783391,97929.68464,4816.049398,9180.600445,28720.5956,16649.19618,27876.9856,1124.888476,11243.27972,380253.0619,17759.67714,4693.259986,20548.03838,5802.724022,3458.09436,3361.602482
1993,0,20885.57283,17588.35188,40903.8715,14972.17908,14678.90617,8711.190545,27737.23949,0,37066.73505,50864.60898,0,22660.78609,3353.277133,9740.471671,0,2874.237542,2570.65725,1439.56806,16933.33575,90439.79343,3008.697245,0,48003.71638,22246.15903,139284.9828,212782.2042,7986.742458,177787.4325,11884.4236,28273.37344,77276.05743,38218.65915,73103.63309,2811.603391,29461.18981,1215518.09,42083.73937,14017.63023,64859.14091,19342.95866,10333.96462,11197.21787
1994,0,20885.57283,17729.7345,40903.8715,14972.17908,14678.90617,8767.079566,28904.5063,0,36616.24517,50864.60898,0,42664.59576,2881.192596,8369.178494,0,2469.593654,2305.415141,1291.032479,14055.63512,43960.1536,2698.257881,0,31777.41066,19237.84435,141571.1779,204731.6125,6819.565293,136328.3113,12860.08573,17373.7132,67042.34116,44809.55382,65441.31011,2930.36755,26385.3282,687375.9849,47395.00601,9506.297546,37448.5063,7212.296565,6914.339973,5445.714353
1995,0,20885.57283,17747.69964,40903.8715,14972.17908,14678.90617,8767.079566,32346.00597,0,38327.43357,50864.60898,0,26662.46973,3386.352064,9836.546472,0,2902.587484,2637.722635,1477.124676,19374.31558,134229.6128,3087.190572,0,68175.41918,31636.64852,131046.5311,215556.9669,8071.979078,201579.7419,15120.69729,35322.09802,93067.61842,34395.94123,83204.61578,3150.375875,33516.0332,1743797.684,52265.23852,23591.10391,93245.00152,28714.47736,13301.96755,16774.40482
1996,0,20840.76429,17723.85603,40843.45917,14947.1553,14647.07923,8760.524612,37698.09696,0,38465.64615,50799.29207,0,47813.66531,3454.252333,10033.78059,0,2960.787714,2728.7224,1528.084544,19599.97173,100435.4237,3193.696697,0,64893.336,35062.17322,125275.6702,217887.955,8215.038083,202123.1718,22644.70613,35085.6175,133009.1039,80165.92115,131965.6884,5367.808695,53171.45497,1497472.679,80111.90131,16779.32455,79991.15238,21485.57218,14552.24708,12497.20094
1997,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37938.03009,0,38526.79188,50864.60898,0,48172.91046,3461.184858,10053.91792,0,2966.729878,2623.085902,1468.928105,19943.45735,90508.33167,3070.05974,0,52162.57094,27476.75729,125501.8279,218331.7296,8223.697027,207832.2687,15281.29426,34502.34365,102700.0686,51865.09038,108050.1545,3513.865524,43445.76254,1494853.005,52875.96258,15663.82466,67414.65096,19308.80599,11370.92406,11275.8004
1998,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37938.03009,0,38526.79188,50864.60898,0,48172.91046,3461.184858,10053.91792,0,2966.729878,2606.078169,1459.403775,19966.03597,134295.8927,3050.153889,0,73062.46358,38277.86856,125501.8279,218331.7296,8223.697027,223693.5146,19547.41622,42087.86882,126392.4506,49397.27477,101854.4238,3979.906315,40990.9446,2071953.071,67192.29634,25701.63315,100656.1305,34114.25409,14322.40988,16798.91439
1999,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37937.55569,0,38526.79188,50864.60898,0,48172.91046,3461.184858,10053.91792,0,2966.729878,2736.60438,1532.498453,19222.10244,91033.48278,3202.921767,0,61759.51149,33777.28083,125501.8279,218331.7296,8223.697027,200750.7662,22742.61516,38863.69904,140148.3303,83604.29889,139692.606,5609.28346,56269.20165,1404519.073,81152.15383,13931.29148,74785.72231,19455.81744,14454.39905,11284.34512
2000,0,20840.76429,17723.85603,40843.45917,14947.1553,14647.07923,8760.524612,37698.09696,0,38465.64615,50799.29207,0,47813.66531,3442.143125,9998.606219,0,2950.408392,2665.135365,1492.475805,17870.47176,96844.09212,3119.274432,0,56680.4677,29486.36041,125275.6702,217887.955,8169.402224,186700.882,16949.84672,30774.04012,94610.32064,52424.37343,87575.24105,3823.931566,35287.18112,1354835.945,60728.89888,17749.25228,72763.0471,20720.93721,11813.7949,12024.58312
2001,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,31266.22568,0,38474.12638,50864.60898,0,43718.736,2892.320569,8401.502606,0,2479.131917,2573.496782,1441.158198,14140.41289,28096.41907,3012.020634,0,24529.63295,15805.93359,141973.4134,204982.7927,6846.505546,128768.2992,11454.68686,14182.84766,61219.13048,42524.79365,62944.67955,2703.995456,25374.30171,496227.3518,41548.38062,5996.753199,26774.82462,6008.857696,5623.447107,3481.018719
2002,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,28583.21794,0,38526.79188,50864.60898,0,22866.01672,2850.323287,8279.5105,0,2443.134246,2154.659841,1206.609511,13951.30802,77427.1201,2521.813878,0,42050.74801,19581.1483,139925.0754,215608.2139,6773.715679,153575.3837,10848.91526,25514.54171,72391.64731,36963.69257,70194.57266,2632.907512,28286.0724,1058385.378,38287.65124,11454.77336,56273.58004,16582.8247,9265.051274,9572.079066
2003,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37064.72443,0,38526.79188,50864.60898,0,42600.74961,3069.455735,8916.038086,0,2630.962058,2654.312314,1486.414896,15243.55585,49586.68634,3106.607133,0,26406.04471,12833.77166,133473.3405,218331.7296,7302.629832,141527.6381,7326.977329,16608.26835,48314.85519,28935.40983,47293.31354,1787.774372,18731.85404,669843.5742,29208.14678,8040.299027,36112.88846,10614.24213,5977.210816,6137.211886
2004,0,20840.76429,17723.85603,40843.45917,14947.1553,14647.07923,8760.524612,37367.19289,0,38465.64615,50799.29207,0,44466.70874,3164.687035,9192.66234,60.37190083,2712.588887,2265.775922,1268.834517,15781.70899,80372.81761,2651.864139,0,45226.47796,21591.29261,131930.1861,217887.955,7529.529428,167393.3477,12336.01975,26691.03943,78479.53828,39917.90694,76665.10639,2914.98623,31201.70318,1110699.299,42286.80994,12263.376,59463.19938,17210.91372,9851.362725,9937.28778
2005,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37645.82438,0,38526.79188,50864.60898,0,44800.80673,3429.096748,9960.7096,120.7438017,2939.225784,2608.257201,1460.624032,18975.1434,107378.0751,3052.704228,0,58890.45199,30023.60002,132746.4826,218331.7296,8158.640749,184769.6564,15576.96644,28747.03649,78539.1555,38829.40166,65056.52568,3246.26331,26215.89769,1438334.678,55952.0946,21474.31123,77558.43277,23001.46085,11363.29629,13423.81027
2006,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37821.8686,0,38526.79188,50864.60898,0,46461.75492,3461.184858,10053.91792,181.1157025,2966.729878,2672.531065,1496.617396,19921.73234,134250.4183,3127.930358,0,77636.71592,42035.05228,126108.1982,218331.7296,8223.697027,223568.9541,23612.29009,41746.73229,159567.0958,73815.9664,140418.9128,5271.366582,56375.66318,2035356.499,82501.93415,24958.51158,104789.5975,34172.25404,16502.94542,16781.20977
2007,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,34351.40641,0,38526.79188,50864.60898,0,44376.45745,3461.184858,10053.91792,241.4876033,2966.729878,1951.342382,1092.751734,17786.08476,78217.33312,2283.851124,0,55975.51732,31169.96049,134436.2804,208519.2747,8223.697027,194611.0817,21804.08892,36454.63118,136343.4159,83591.91217,139610.7461,5466.125213,56259.5522,1252465.44,77784.96551,11289.73188,66455.59016,16757.10287,13474.97158,9674.377379
2008,0,20840.76429,17362.84473,40843.45917,14947.1553,14647.07923,8760.524612,29408.29639,0,34070.56167,50799.29207,0,40162.77271,2687.841409,7807.539332,301.8595041,2303.864065,1990.203366,1114.513885,11610.459,25123.53056,2329.33402,0,15056.33162,7442.957085,142661.8136,188709.7493,6359.596311,112399.258,4426.52258,9271.143688,28243.18365,16980.74746,28409.87308,1051.767785,11457.41401,375083.9093,17300.86404,4576.538492,20575.72675,5372.354471,3440.777596,3112.283137
2009,0,20885.57283,17319.58283,40903.8715,14972.17908,14678.90617,8767.079566,24519.80977,0,33412.81237,50864.60898,0,22801.76673,2465.228291,7160.901226,362.231405,2113.052821,2640.628324,1478.751862,9325.389633,40430.54388,3090.591391,0,23322.74991,11906.57633,147462.2084,212782.2042,5820.224528,114199.5574,7085.147228,13685.78299,42598.51135,24815.43537,41541.11117,1658.086927,16755.88503,564368.5154,26314.28372,6965.542394,30553.22633,8646.189763,5140.642005,5008.863571
2010,0,20885.57283,17716.52366,40903.8715,14972.17908,14678.90617,8767.079566,31287.92717,0,38080.78116,50864.60898,0,22866.01672,2760.846957,8019.603066,422.6033058,2366.440249,2664.728548,1492.247987,13248.48916,74657.05099,3118.798292,0,41356.68894,19521.55204,139925.0754,218331.7296,6572.784558,148824.7505,10846.58957,24586.85993,70646.22637,35669.24135,67708.55141,2620.655145,27283.15493,1029656.01,37575.18922,11182.01447,54567.53787,15996.07837,9009.086209,9233.585433
2011,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37240.64525,0,38526.79188,50864.60898,0,44261.6978,3385.437681,9833.890407,482.9752066,2901.803727,2603.623445,1458.029129,19392.679,134427.4906,3047.28088,0,69159.42968,34556.56332,127493.0147,218331.7296,8070.125234,230177.5731,16381.23466,42384.25951,105208.787,38887.54626,88878.79552,3265.515163,35745.1912,2029070.289,56419.57882,25671.63834,93741.95763,34319.66578,13430.54512,16830.16522
2012,0,20840.76429,17700.44887,40843.45917,14947.1553,14647.07923,8760.524612,34075.39901,0,38169.35936,50799.29207,0,44113.06791,3384.510672,9831.197666,543.3471074,2901.009147,2120.249208,1187.339557,17545.27568,69922.40299,2481.539673,0,52275.55735,30674.12963,135218.7286,215186.519,7948.070875,184973.8204,21762.32618,33888.30452,131969.5011,83026.19407,135801.6777,5450.501625,54194.34164,1145912.968,80796.52059,11268.1487,60938.76554,14974.15436,12645.78326,8655.870841
2013,0,19696.66994,17749.50598,39162.29752,14972.17908,14678.90617,7837.305524,33563.03296,0,37823.64642,50172.15294,0,40465.24479,2872.870162,8345.003802,603.7190083,2462.460138,1537.627831,861.0715852,14028.84764,61734.84692,1799.639613,0,37034.35085,19866.94998,136371.5591,193674.9722,6799.417105,144459.2071,11923.71011,20752.80719,64481.84951,36581.60466,51718.93036,2607.583202,17182.93896,848986.5322,39687.23819,10623.75894,44280.25035,13196.96657,7557.869754,667.6344459
2014,0,14220.12526,14492.7558,29500.04929,14972.17908,14678.90617,4233.946557,23615.24332,0,23845.89088,44961.79984,0,31512.2731,1852.456358,5380.944658,664.0909091,1587.819735,800.8947899,448.5010824,5776.075931,6174.034049,937.3672621,0,3327.404569,1634.78739,149346.2592,186213.3532,4358.918501,67627.01851,971.816301,2090.191096,6270.647965,3789.723841,6343.752335,231.5087391,2558.867934,83334.21487,3834.801982,1026.195892,4583.405096,1320.319974,766.30992,764.8805775
