Year,Butte County,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1933,0,20885.57283,15824.42339,39917.74403,14972.17908,14678.90617,7419.55873,14294.04257,0,22457.13112,50864.60898,0,11948.73384,2392.257366,6948.938062,0,2050.506313,2632.158721,1474.008884,9170.807625,45381.99625,3080.678567,0,25898.14018,13145.75027,155157.9014,211267.7515,5611.146989,114792.895,7821.246833,15369.99199,47527.34009,27857.76333,46594.64616,1835.941808,18789.63144,630142.579,29320.87287,7773.0298,34185.57989,9704.749495,5741.463163,5622.01646
1934,0,20885.57283,15824.42339,39922.0162,14972.17908,14678.90617,7419.55873,13143.35959,0,22457.13112,50864.60898,0,11902.07582,2149.003997,6242.344944,0,1842.003426,1427.629403,799.4724659,7411.444726,20304.40796,1670.897454,0,13736.60535,7567.43787,155157.9014,189690.268,5061.068952,88595.54991,4512.956468,6870.841445,23434.18074,12469.79698,20888.91028,1020.552585,8426.8297,307988.5619,14811.81675,3822.354765,16058.65095,4342.438037,2743.079227,2515.637557
1935,0,20885.57283,17018.2422,40903.8715,14972.17908,14678.90617,8169.223637,24245.94071,0,31016.73059,50864.60898,0,20541.56008,2508.605275,7286.901037,0,2150.233093,2612.679103,1463.100298,11300.97281,95608.69246,3057.879623,0,47751.62987,23162.45822,144753.966,212782.2042,5869.090288,148507.7444,11538.49509,24673.85055,70933.2099,32421.92322,39431.45476,2235.230805,15737.45376,1277035.759,41328.01606,16648.11741,55244.69638,18373.80666,8559.839212,12390.81528
1936,0,20840.76429,17687.27439,40843.45917,14947.1553,14647.07923,8410.885247,37012.79894,0,37994.73618,50799.29207,0,42634.86912,3181.767979,9242.278416,0,2727.229697,2638.834747,1477.747458,15936.75083,79260.5965,3088.492188,0,41180.29189,18614.84324,133235.068,217887.955,7586.093908,166477.2833,10221.33154,26042.42205,72316.85378,37812.64899,71987.90266,2528.292665,29011.45359,1059377.17,37720.3029,11418.78402,56989.25562,16993.9512,9351.348171,9815.301162
1937,0,20885.57283,17315.42118,40903.8715,14972.17908,14678.90617,8706.329834,36641.54933,0,33576.71518,50864.60898,0,42489.14113,2834.793396,8234.399866,0,2429.822911,2660.257443,1489.744168,13409.02626,78691.21312,3113.565311,0,47251.52641,24789.80379,136051.2566,218331.7296,6601.88103,154065.5933,14751.73993,26624.28694,85035.84218,48564.48896,81177.39243,3415.440817,32709.7624,1120565.224,52858.40309,13880.66745,60147.10219,16863.6355,10152.20915,9734.17106
1938,0,20885.57283,17716.52366,40903.8715,14972.17908,14678.90617,8767.079566,37240.58675,0,38080.78116,50864.60898,0,44261.6978,3401.015394,9879.139953,0,2915.156052,2591.262154,1451.106806,19463.23842,134104.7576,3032.813225,0,71919.8494,38098.12353,127437.1066,218331.7296,8101.70789,219730.6735,18861.20465,39708.16245,120765.8807,45428.90303,92860.58092,3799.844812,37417.1714,2003973.748,65558.81888,24973.04176,100126.1692,34099.0576,13955.35756,16745.98848
1939,0,20885.57283,17626.32636,40903.8715,14972.17908,14678.90617,8767.079566,30367.92926,0,35859.23494,50864.60898,0,44421.76713,2821.895401,8196.93426,0,2418.767487,2569.076826,1438.683023,13889.06056,76437.31681,3006.847517,0,45017.40145,24597.19256,141973.4134,204731.6125,6659.885186,162622.7654,21346.73973,35235.3222,133305.8017,79537.60282,88065.08835,4580.280295,35003.59848,1071589.939,75926.57797,10970.19865,38527.60041,10319.04887,10367.36113,661.7820612
1940,0,20840.76429,17713.96985,40843.45917,14947.1553,14647.07923,8760.524612,32285.15416,0,38205.90124,50799.29207,0,26667.34598,2877.722837,8359.099671,0,2466.619575,2618.917159,1466.593609,14148.52227,73175.08687,3065.180642,0,37958.23347,17173.91625,130743.2103,215146.4754,6827.412056,151094.4587,9428.606767,24016.18511,66535.57054,34875.11918,66395.64975,2323.044395,26757.81724,976698.3817,34683.86658,10508.55513,52495.51959,15622.67496,8603.244435,9052.871027
1941,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37938.03009,0,38526.79188,50864.60898,0,48172.91046,3398.855704,9872.866569,0,2913.304889,2663.501186,1491.560664,19337.20179,122170.5268,3117.361788,0,65525.11793,32715.42634,125501.8279,218331.7296,8097.329279,192526.5331,16664.87036,32544.61752,86289.73857,41604.85644,71791.04949,3479.537485,28926.54954,1619758.851,60018.48727,23379.61041,87366.54701,26133.68612,12720.89498,15247.7929
1942,0,20885.57283,17749.50598,40903.8715,14972.17908,14678.90617,8767.079566,37938.03009,0,38526.79188,50864.60898,0,48172.91046,3461.184858,10053.91792,0,2966.729878,2705.776299,1515.234727,19900.88896,96935.82817,3166.84058,0,62577.3105,33601.47195,125501.8279,218331.7296,8223.697027,199912.821,21660.87597,37897.91871,130809.1877,79058.94058,130876.6973,5233.449579,52737.58121,1448109.63,77433.19962,15703.02705,77292.87048,20734.4084,14188.46027,12034.36014
