,k_labels,Study Region,colors
0,0,San Francisco Bay Area,#F63366
1,1,Southern California,#2BB1BB
2,2,Central Valley - San Joaquin Valley,#22466B
3,3,Central Valley - Sacramento Valley,#FF7F50
4,4,Central Coast,#DFFF00
