Variable,Contractor,2025,2030,2035,2040,2045,Notes
Recycled Supply Volume (AFY),Antelope Valley-East Kern Water Agency,0,0,0,0,0,
Recycled Supply Volume (AFY),Santa Clarita Water Division,0,0,0,0,0,
Recycled Supply Volume (AFY),Coachella Valley Water District,0,0,0,0,0,
Recycled Supply Volume (AFY),Crestline-Lake Arrowhead Water Agency,0,0,0,0,0,
Recycled Supply Volume (AFY),Desert Water Agency,0,0,0,0,0,
Recycled Supply Volume (AFY),Metropolitan Water District of Southern California,0,500000,500000,500000,500000,
Recycled Supply Volume (AFY),Mojave Water Agency,0,0,0,0,0,
Recycled Supply Volume (AFY),Palmdale Water District & Littlerock Creek Irrigation District,0,0,0,0,0,
Recycled Supply Volume (AFY),San Bernardino Valley Municipal Water District,0,0,0,0,0,
Recycled Supply Volume (AFY),San Gabriel Valley Municipal Water District,30000,30000,30000,30000,30000,
Recycled Supply Volume (AFY),San Gorgonio Pass Water Agency,0,0,0,0,0,
Recycled Supply Volume (AFY),Ventura County Watershed Protection District,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Butte County,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),City of Folsom,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),City of Redding,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),City of Roseville,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),City of West Sacramento,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Yuba City,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),El Dorado Irrigation District,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Napa County Flood Control & Water Conservation District,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Placer County Water Agency,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Sacramento County Water Agency,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),San Juan Water District,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Shasta Contractors,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Solano County Water Agency,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),City of Avenal,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),City of Coalinga,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),City of Fresno,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),City of Huron,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),City of Lindsay,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),City of Orange Cove,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),City of Tracy,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Kern County Water Agency Improvement District No 4,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Other Friant-Kern M&I Contractors,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Stockton-East Water District,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),"Alameda County Flood Control and Water Conservation District, Zone 7",0,7000,7000,7000,7000,
Potable Reuse Supply Volume (AFY),Alameda County Water District,0,2500,2500,2500,2500,
Potable Reuse Supply Volume (AFY),Contra Costa Water District,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),East Bay Municipal Utilities District,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),"San Benito County Water District, Zone 6",0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Santa Clara Valley Water District,0,9000,9000,9000,9000,
Potable Reuse Supply Volume (AFY),San Luis Obispo County Flood Control & Water Conservation District,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Santa Barbara County Flood Control & Water Conservation District,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Antelope Valley-East Kern Water Agency,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Santa Clarita Water Division,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Coachella Valley Water District,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Crestline-Lake Arrowhead Water Agency,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Desert Water Agency,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Metropolitan Water District of Southern California,0,100000,100000,100000,100000,
Potable Reuse Supply Volume (AFY),Mojave Water Agency,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Palmdale Water District & Littlerock Creek Irrigation District,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),San Bernardino Valley Municipal Water District,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),San Gabriel Valley Municipal Water District,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),San Gorgonio Pass Water Agency,0,0,0,0,0,
Potable Reuse Supply Volume (AFY),Ventura County Watershed Protection District,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Butte County,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),City of Folsom,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),City of Redding,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),City of Roseville,6000,6000,9360,9360,9360,
Transfers and Exchanges Supply Volume (AFY),City of West Sacramento,1000,1000,1000,1000,1000,
Transfers and Exchanges Supply Volume (AFY),Yuba City,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),El Dorado Irrigation District,0,0,3750,3750,3750,
Transfers and Exchanges Supply Volume (AFY),Napa County Flood Control & Water Conservation District,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Placer County Water Agency,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Sacramento County Water Agency,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),San Juan Water District,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Shasta Contractors,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Solano County Water Agency,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),City of Avenal,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),City of Coalinga,1000,1000,1000,1000,1000,
Transfers and Exchanges Supply Volume (AFY),City of Fresno,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),City of Huron,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),City of Lindsay,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),City of Orange Cove,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),City of Tracy,0,1925,3500,5000,7500,
Transfers and Exchanges Supply Volume (AFY),Kern County Water Agency Improvement District No 4,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Other Friant-Kern M&I Contractors,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Stockton-East Water District,45000,45000,45000,45000,45000,
Transfers and Exchanges Supply Volume (AFY),"Alameda County Flood Control and Water Conservation District, Zone 7",0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Alameda County Water District,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Contra Costa Water District,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),East Bay Municipal Utilities District,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),"San Benito County Water District, Zone 6",0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Santa Clara Valley Water District,1000,1000,1000,1000,1000,
Transfers and Exchanges Supply Volume (AFY),San Luis Obispo County Flood Control & Water Conservation District,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Santa Barbara County Flood Control & Water Conservation District,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Antelope Valley-East Kern Water Agency,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Santa Clarita Water Division,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Coachella Valley Water District,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Crestline-Lake Arrowhead Water Agency,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Desert Water Agency,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),Metropolitan Water District of Southern California,650000,650000,650000,650000,650000,
Transfers and Exchanges Supply Volume (AFY),Mojave Water Agency,1000,1000,1000,1000,1000,
Transfers and Exchanges Supply Volume (AFY),Palmdale Water District & Littlerock Creek Irrigation District,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),San Bernardino Valley Municipal Water District,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),San Gabriel Valley Municipal Water District,0,0,0,0,0,
Transfers and Exchanges Supply Volume (AFY),San Gorgonio Pass Water Agency,1000,1000,1000,1000,1000,
Transfers and Exchanges Supply Volume (AFY),Ventura County Watershed Protection District,0,0,0,0,0,
Other Supply Volume (AFY),Butte County,0,0,0,0,0,
Other Supply Volume (AFY),City of Folsom,0,0,0,0,0,
Other Supply Volume (AFY),City of Redding,0,0,0,0,0,
Other Supply Volume (AFY),City of Roseville,0,0,0,0,0,
Other Supply Volume (AFY),City of West Sacramento,0,0,0,0,0,
Other Supply Volume (AFY),Yuba City,0,0,0,0,0,
Other Supply Volume (AFY),El Dorado Irrigation District,0,0,0,0,0,
