,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
Cost ($/acre-foot),33.81,41.4,34.55,33.99,0,40.1,23.29,33.74,36.26,33.59,234.39,17.03,67.78,123.57,30.59,121.58,31.21,31.9,42.62,11.84,95.82,33.59,29.4,20.65,37.01,104.88,35.47,42.54,131.89,118.18,98.97,68.7,119.58,114.93,96.2,80.96,170.54,140.6,109.16,96.9,253.12,135.22
Year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year
1966,33406.64989,26584.89015,59287.54437,17860.20193,6599.068356,6910.030073,33909.48216,97033.25093,76319.26468,80148.70509,9490.994882,32590.8997,5783.649388,8262.356268,57744.48943,2478.70688,2406.020393,1347.37142,16465.71667,91689.69368,2816.006268,0,28811.13674,28811.13674,162000.1637,0,6813.412383,166605.9725,8447,45918.27579,96996.70276,53537.81698,95659.88176,3978.648291,37011.79748,1653739.362,56798.63478,16188.98298,71090.48511,19756.08989,11867.34758,13524.47434
1967,33999.9993,27100.57402,62000.00018,12630.46083,8601.873051,7549.999948,37300.47847,99999.99953,71115.66543,82200.00113,10370.0001,40717.07997,6999.999832,9999.999759,58928.8483,2999.999928,2455.368679,1375.00646,20000,117635.1914,2873.763502,75000.00106,36081.41105,36081.41105,148999.8502,0,8297.250002,207074.527,8447,61691.10926,118270.7233,72329.31342,121019.1088,5186.160501,44567.20588,1956404.39,74036.91249,21102.30854,88466.86424,25483.33026,15469.06492,16162.75236
1968,32476.58487,25784.01289,55041.30054,16040.73634,5287.045999,5912.060613,35104.98353,92390.11983,77961.62719,76941.6278,8129.503327,28441.75691,5249.99994,7499.999915,40620.62284,2249.999974,1692.525952,947.814533,15000,78560.73004,1980.932374,75000.00088,25028.9385,25028.9385,162000.1637,31207.99835,6222.937497,146711.8643,8447,36205.54021,77711.88434,51155.99376,82594.66804,3187.616206,33282.6362,1674641.31,45505.96977,12970.30042,61251.99036,16182.972,9507.889805,11924.34913
1969,33999.99945,27099.19634,62000.00063,15705.96196,9619.999689,7549.999798,38907.70397,99999.9978,80397.73343,82199.99977,10370.00004,49258.6053,6999.999826,9999.999751,59524.08898,2999.999925,2480.170374,1388.89541,20000,136360.4871,2902.791406,75000.00088,42987.13286,42987.13286,148999.8505,0,8297.249986,217235.7802,8447,70681.16123,141399.9998,82885.93736,128450,5799.99994,43850.00113,2525120.056,82800.00015,23600.00007,91200.00114,28999.74454,17299.99982,20252.12161
1970,32249.99924,25579.70771,54000.00008,16441.83334,6992.302841,5662.499964,39100.74789,91249.99994,70639.36004,76149.99972,7777.499978,34012.87739,5249.99994,7499.999915,59881.23377,2249.999974,2495.051407,1397.228788,15000,96961.74651,2920.208167,75000.00088,30120.93684,30120.93684,148999.8505,0,6222.937497,161724.8101,8447,49036.67799,102776.6815,59349.37837,103263.9641,4215.73374,41369.96819,1729541.436,60183.23328,17153.67517,77513.67764,20857.55968,12574.51611,14372.70184
1971,33110.86397,26357.94173,57949.59298,17247.18646,6337.463388,6604.417013,35128.00593,95572.97579,78391.6877,79147.62922,9102.84062,27739.04596,5249.99994,7499.999915,59201.76244,2249.999974,2466.740102,1381.374457,15000,82765.10072,2887.072615,75000.00106,25142.21627,25142.21627,148999.8502,0,6222.937506,152406.6701,8447,42903.7347,93151.49078,46640.24687,94165.37767,3820.923967,38197.18912,1520788.564,54546.98363,15547.20769,70910.38382,18494.05004,11396.89381,12016.13779
1972,32249.99973,25578.32935,54000.00063,17414.46726,4076.777013,5662.499965,30301.30538,91249.99722,72622.18471,76150.00064,7777.499974,22213.28581,5249.99994,7499.999915,46758.27697,2249.999974,1948.261541,1091.026463,15000,61417.15718,2280.245307,75000.00088,21535.1411,21535.1411,162000.1637,0,6222.937497,141889.7156,8447,26419.00505,59922.69234,42031.40036,62802.81604,2457.932261,27169.33594,1330743.38,35089.10198,10001.24138,48009.7792,12521.45041,7331.418627,9399.447347
1973,33996.29104,27101.46997,61984.58623,15538.89085,7567.398289,7547.454079,38414.61797,99983.47624,84252.0303,82189.50955,10369.18124,39563.60246,6115.453273,8736.361819,59345.51647,2620.908546,2472.729853,1384.728718,17408.13333,108674.0392,2894.08302,75000.00088,35377.50321,35377.50321,157000.1551,0,7198.387783,187839.3764,8447,54310.06262,112229.7472,66611.46484,101042.8624,4562.464906,34493.80727,2008330.97,65133.11895,18564.51223,71740.8273,22919.60941,13608.73159,16217.02457
1974,33999.99971,27098.32994,62000.0003,13634.15171,7104.904016,7549.999947,35444.74326,100000.0013,72061.14526,82200.0006,10361.50023,30818.62134,6276.405206,8966.293152,58571.70356,2689.887946,2440.487648,1366.673083,17848.6,92416.21157,2856.346744,75000.00088,27944.04763,27944.04763,148999.8505,0,7380.498772,176394.0308,8447,48902.23301,104431.7546,52639.59192,102655.1151,4283.622192,39530.62842,1575171.633,61152.39971,17429.91099,76159.26572,20689.24325,12777.01105,13417.84116
1975,33999.99987,27103.32963,61999.99942,14837.44364,6862.173745,7549.999959,32631.27701,99999.99738,76156.66517,82200.00264,10369.99973,33890.00887,5641.222991,8058.889987,58571.70355,2417.666996,2440.487648,1366.673083,16074.1,95532.41696,2856.346743,75000.00106,29959.59535,29959.59535,148999.8502,0,6655.23412,167065.3538,8447,48065.59095,100863.9703,58031.12419,98938.12903,4137.277477,37894.12593,1685757.842,59063.20221,16834.43939,73312.41636,20543.7221,12340.4998,14115.18939
1976,30953.20011,24446.88363,48071.77305,20582.61091,3032.788661,4263.809123,21147.72252,84766.00207,52739.3005,71666.78203,5856.384138,14977.94075,3953.200387,5647.429124,29524.16173,1694.228737,1230.173406,688.8971071,11249.4,42141.21934,1439.794954,75000.00088,13240.86526,13240.86526,175000.0004,41214.99819,4685.813256,98929.49257,7626.904506,7473.172622,44577.58096,25753.65941,50677.9461,1828.500466,23912.35067,912201.3272,26103.42042,7440.105365,40316.43587,9079.450704,5453.975517,6213.201287
1977,29165.09892,18799.99724,36364.48104,17692.50002,2058.21658,2207.129533,12216.63929,51997.66298,58641.0003,59141.39468,5180.749888,10478.48966,3499.999913,4999.999875,15000,1499.999963,625,350,10000,30179.96923,731.5,0,9252.119314,9252.119314,183999.9974,61906.997,4148.624993,81383.60491,6158.414087,5147.365009,30252.78947,20865.91637,29600.23667,1240.920663,11927.81462,620302.975,17715.2119,5049.263381,21951.45849,6211.682131,3701.366688,4648.964868
1978,33903.74958,27078.20187,61600.00063,14111.04719,7819.596577,7483.937571,36691.46335,99571.24923,78245.87128,81927.75165,10329.62497,38304.7653,6918.588211,9883.697445,58928.84822,2965.109233,2455.368676,1375.006458,19559.9,108087.123,2873.763498,0,33873.4706,33873.4706,157000.1551,0,8067.948803,197027.0834,8447,55640.86368,114936.6933,63953.04646,104410.314,4714.517798,35643.38009,1893192.454,67303.80658,19183.21053,74131.72889,23360.15066,14062.26859,15906.36258
1979,32233.8758,25563.39838,53932.99513,14651.10767,6820.648801,5651.433553,34425.54043,91178.17732,76334.92734,76104.39307,7754.459144,35693.37787,5236.362228,7480.517468,59345.51645,2244.155241,2472.729852,1384.728717,14926.1,99782.24318,2894.083019,75000.00106,31455.3519,31455.3519,175000.0006,0,6184.525979,161791.5857,8447,29725.71026,100253.6129,63183.49953,99119.16653,4112.241555,38523.98971,1800220.307,58705.79264,16732.56887,73762.02545,20725.14607,12265.8237,15115.15413
1980,33393.68221,26561.26684,59228.26207,15146.63678,9403.083866,6896.043198,38315.04341,96968.41047,71768.60599,80103.87333,9448.492445,44430.2752,6393.682275,9133.831821,59524.08914,2740.149546,2480.170381,1388.895413,18540,127277.2379,2902.791414,75000.00088,39375.91387,39375.91387,157000.1551,0,7578.568731,202423.7192,8447,67902.91737,138211.6504,76056.61331,131530.4753,5669.218954,48585.50144,2248495.087,80932.98834,23067.85666,96025.98518,27844.86492,16909.91183,18634.04701
1981,32249.99975,25578.3299,54000.00039,14597.41722,3643.078962,5662.500137,28997.12776,91250.00256,78087.92759,76150.00027,7777.500106,22171.60758,5249.99994,7499.999915,53590.11022,2249.999974,2232.921259,1250.435905,15000,58536.57851,2613.411042,75000.00088,18953.09281,18953.09281,175000.0004,25949.99858,5629.073658,122428.5685,8447,14378.4436,53547.96089,40296.4208,59105.83645,2196.451017,23817.4952,1245213.173,31356.23154,8937.28343,43832.73562,11480.64358,6551.483051,9118.836028
1982,33999.99977,27104.19596,61999.99954,11591.08164,9619.999689,7549.999814,41177.92667,99999.9981,84541.44314,82199.99994,10378.50007,48417.33159,6999.999826,9999.999751,59940.7575,2999.999925,2497.531562,1398.617675,20000,136362.6799,2923.110941,75000.00088,44120.1678,44120.1678,148999.8505,0,8297.249986,225057.8155,8447,70651.35964,143400.0012,84571.18792,130449.9978,5800.000042,48849.9999,2481352.703,82800.00027,23600.0004,91199.99912,28921.44327,17299.99986,20376.31359
1983,33999.99992,27065.63426,62000.00032,12996.50167,9619.999689,7549.999812,42857.27662,99999.99859,83591.85485,82199.99984,10353.00006,47737.38489,6999.999832,9999.999759,59524.08841,2999.999928,2480.17035,1388.895396,20000,135001.415,2902.791378,75000.00106,45144.69291,45144.69291,148999.8502,0,8297.250002,227459.5174,8447,70425.98397,142399.9992,82971.70623,128896.7933,5800.000058,51526.61096,2505983.617,82800,23599.99994,99521.99996,28828.26843,17300.00011,20083.5557
1984,33844.25212,26966.22836,61288.01181,16991.36854,8339.944382,7382.014933,40452.10635,99221.26021,83918.30849,81661.55968,10139.27096,35873.86889,6844.252292,9777.503275,59345.51647,2933.250982,2472.729853,1384.728718,19566,107794.8917,2894.08302,75000.00088,33580.0426,33580.0426,148999.8505,0,7338.438373,191736.3751,8447,58537.04702,123585.0503,62655.15721,111358.2028,5028.241112,40587.20188,1926401.508,71782.47611,20459.73988,79064.75685,24243.97836,14998.02969,15594.21353
1985,32249.99997,25575.9575,54000.00123,15162.74416,6693.515016,5662.500007,34190.17844,91250.00084,64624.2395,76150.00049,7771.124786,33057.05882,5249.99994,7499.999915,54614.83412,2249.999974,2275.618088,1274.34613,15000,80576.55742,2663.383411,75000.00088,29223.24746,29223.24746,162000.1637,0,6222.937497,159093.7248,8447,24115.43772,67268.65676,54500.61276,97957.11753,4035.591321,38540.8806,1619992.944,57611.54514,11051.24574,73170.73363,20038.79804,12037.19489,12588.62555
1986,32249.99944,25572.20725,54000.00162,15121.68587,8024.428868,5662.500008,36355.56064,91250.00093,65344.91366,76149.99959,7764.749967,39630.00406,5249.99994,7499.999915,59285.99315,2249.999974,2470.249715,1383.33984,15000,112237.0797,2891.180266,75000.00088,35033.89009,35033.89009,148999.8505,0,6222.937497,172928.5879,8447,57496.2226,105753.6842,68759.34822,107726.1704,4838.013495,36811.11315,1796810.825,69066.81296,19685.71029,76504.35213,24023.23944,14430.62643,15466.61979
1987,31290.50649,24781.13367,49632.86263,16555.21413,1802.666575,4645.661856,15442.76001,84662.46247,59618.72748,72861.81233,6424.609797,8902.77474,4297.598713,6139.426733,37759.5267,1841.82802,1573.313612,881.055623,12196.88333,25424.46139,1841.406252,75000.00106,7870.270092,7870.270092,175000.0006,41384.99811,5030.555356,91101.34295,4861.69478,4458.366676,26496.57641,15727.44403,26505.90033,1086.846852,10680.91041,537605.046,15515.67536,4422.342348,19656.70681,5396.756725,3241.801795,3812.13435
1988,30499.99965,24055.82991,45999.99982,16530.26423,1855.717879,3775.000009,15599.17675,82499.99775,48096.64892,70100.00134,5189.250133,9164.777612,3499.999913,4999.999875,26775.58162,1499.999963,1115.649234,624.7635712,10000,25910.11453,1305.755864,0,8101.887211,8101.887211,184000.1821,61906.997,4148.624993,78966.58292,4774.198721,4578.367316,27276.3536,15793.48112,26688.00198,1118.83206,10754.29041,553423.0116,15972.29182,4552.489075,19791.75298,5555.579791,3337.205924,3840.224666
1989,31882.38033,25314.5038,52352.88874,14316.33309,6177.720501,5297.551334,30221.82024,89455.78525,53629.67689,74929.65748,7328.99538,30509.72043,4894.783633,6992.548047,29048.29072,2097.764414,1210.345447,677.7934501,13496.35,83736.19506,1416.588311,0,26971.33755,26971.33755,175000.0004,61709.00046,5690.881905,146078.6186,8447,23247.41025,83093.47207,52886.26767,85816.99298,3724.613283,32161.66854,1635885.24,53172.06582,13967.09435,62400.47593,18494.6315,11109.62254,12811.03701
1990,30499.99911,24055.82956,46000.00009,16435.51732,1864.212442,3775.000002,19625.33079,82499.99968,47534.18865,70100.00184,5189.249902,9206.729084,3499.999913,4999.999875,20840.7767,1499.999963,868.3656956,486.2847896,10000,26065.90901,1016.33521,0,8138.973401,8138.973401,184000.1821,47885.99843,4148.624993,79054.88271,4829.143245,4600.838672,27401.21049,15955.90466,27391.0224,1123.953471,11037.58227,555959.7086,16045.4045,4573.327798,20313.11078,5581.010103,3352.481948,3870.031414
1991,30926.3348,19174.01769,47948.95898,15146.95232,1659.362099,4234.832604,19007.28216,84631.67268,56208.50644,71573.90076,5816.584587,8195.041053,3926.334664,5609.04952,31826.85058,1682.714856,1326.118774,742.6265135,11059.4,23208.45299,1552.089413,0,7244.616434,7244.616434,183999.9977,55408.99866,4601.265884,83436.52681,4304.604256,4095.541046,24390.20875,14223.10602,23864.11171,1000.447025,9616.365808,494867.6788,14282.24355,4070.784482,17697.56278,4967.736946,2984.092034,3447.04852
1992,30282.02793,24050.82923,45063.00631,14638.47454,1799.397496,3596.008312,17435.54798,78550.37157,62881.33958,69436.36011,5180.749916,9588.771714,3499.999913,4999.999875,30754.63552,1499.999963,1281.443147,717.6081622,10000,27244.22063,1499.801059,0,8448.917036,8448.917036,184000.1821,61706.99992,4030.053877,77366.63964,5593.547157,4544.019913,26448.52627,18884.03778,25878.03141,1084.875881,10427.90186,564956.5653,15487.5386,4414.322584,19191.08022,5497.139427,3235.922848,4239.527692
1993,33428.47127,25153.52149,59415.80026,15017.14824,6380.804544,6960.466023,33256.62074,97179.76447,83582.07263,80267.25536,9595.839975,30810.54292,5404.10426,7720.148943,58928.84767,2316.044683,2455.368653,1375.006446,15002.6,87694.37679,2873.763471,0,27265.06357,27265.06357,157000.1551,0,6395.930311,157640.4214,8447,43992.89407,93788.54155,51697.62253,87272.99555,3847.0548,31578.04692,1619184.349,54920.02382,15653.53332,62879.85869,18992.44725,11474.83588,12919.26646
1994,32373.68475,20435.28024,54565.41756,16972.103,3942.789835,5795.903167,27893.13485,91868.42676,65969.56451,76577.59905,7960.730719,21213.23165,5373.68489,7676.6927,44140.85646,2303.00781,1839.202353,1029.953317,15532,58301.8848,2152.602434,0,18667.65634,18667.65634,184000.1821,41214.99819,6369.54402,134280.8711,8447,15403.27825,57953.27554,37463.98623,61195.74989,2377.149867,26672.75212,1219879.949,33935.86379,9672.540884,46943.21617,12068.82056,7090.464333,8809.535814
1995,33968.59787,27093.84294,61869.49462,14117.36351,8914.246397,7528.446263,37409.95196,99860.11424,75654.03339,82111.17557,10353.87343,43529.44704,6973.438262,9962.05466,59285.99335,2988.616398,2470.249723,1383.339845,19810.4,119185.5859,2891.180276,75000.00106,38510.55905,38510.55905,148999.8502,0,8222.437553,210477.8983,8447,57650.15494,100518.3075,78759.33144,119026.506,5374.493876,40633.028,2093512.8,76725.53304,21868.63012,84509.28345,26614.32465,16030.81819,18571.86763
1996,33999.99957,27103.32999,62000.00071,12304.21409,7681.145841,7549.999885,36553.94205,99999.99874,73894.23606,82200.00152,10370.00005,40712.56973,6968.214604,9954.592292,59524.08941,2986.377688,2480.170392,1388.89542,19857.6,111392.8766,2902.791427,75000.00088,35415.36157,35415.36157,148999.8505,0,8207.724853,200145.8119,8447,55411.12578,112901.6671,68356.02949,103142.5185,4631.044333,35246.35548,1933703.154,66112.15,18843.5594,73249.94003,23354.8695,13813.28739,16676.307
1997,33159.94118,26365.5008,58159.7332,18753.67026,7923.341266,6643.93695,39273.62994,95799.70833,64549.61461,79295.80019,9118.033717,36948.61323,6159.941575,8799.916535,58571.70356,2639.974961,2440.487648,1366.673083,17564,107614.7335,2856.346744,75000.00088,33204.61765,33204.61765,148999.8505,0,6604.717258,175693.3853,8447,56128.73712,117461.588,63424.78514,113468.7946,4777.06656,39215.0387,1871312.777,68196.74335,19437.71927,80818.0984,23449.41561,14248.83634,15854.65687
1998,33999.99973,24995.14245,61999.99997,12765.31805,9384.618332,7549.99987,40322.39789,100000.0007,78716.88738,82200.00072,10370.00001,46419.99927,6999.999826,9999.999751,59524.08969,2999.999925,2480.170404,1388.895426,20000,131136.8319,2902.79144,75000.00088,40637.00063,40637.00063,148999.8505,0,8297.249986,213582.5597,8447,68429.97785,137940.2335,83267.50718,133461.0527,5658.085947,50330.0216,2311837.556,80774.05505,23022.55714,98191.5059,28041.96495,16876.70507,18735.67015
1999,34000.00017,27099.70759,62000.00045,15251.17474,6492.774947,7550.000103,33589.13666,99999.99916,56012.71135,82200.00152,10361.50011,30151.39635,5430.349393,7757.64199,59524.08915,2327.292597,2480.170381,1388.895413,15504.2,87372.38602,2902.791414,75000.00106,27144.27772,27144.27772,148999.8502,0,6423.564807,158475.6735,8447,44584.37349,95434.34108,49632.06608,97696.36444,3914.562855,35961.8162,1590632.904,55883.76018,15928.22105,71843.48005,19210.8163,11676.19581,12743.95855
2000,33999.99984,25922.09474,62000.00077,14016.29984,6935.6794,7549.999993,32794.97981,100000.0003,64671.95828,82200.00151,10378.5001,34253.02796,5742.423566,8203.462238,59345.51647,2461.038671,2472.729853,1384.728718,16350.3,96556.72169,2894.08302,75000.00088,30280.51288,30280.51288,157000.1551,0,6116.575435,160081.0444,8447,48658.70226,101944.3943,58372.8871,97945.12469,4181.59472,36176.86689,1696960.964,59695.86863,17014.76454,71601.35879,20763.781,12472.68756,14263.83168
2001,31768.39071,25165.47901,51802.25902,15273.28229,2204.378346,5146.730423,22661.37646,88847.0739,76531.42629,74490.90751,7075.652858,10886.69612,4769.83745,6814.0535,51325.75316,2044.21605,2138.573048,1197.600907,13594.4,31985.81145,2502.985896,75000.00088,9624.105045,9624.105045,175000.0004,41214.99819,5640.843376,104055.8982,6724.125716,5493.888278,32401.15402,22635.28512,38839.81101,1329.043089,19195.77798,665231.4289,18973.2359,5407.830577,31567.93674,6599.386392,3964.214766,4943.027037
2002,32928.52492,26191.88237,57118.24122,17411.09957,6610.296365,6409.826443,33951.14382,94664.16751,78536.08054,78520.58015,8825.223877,32646.06964,5249.99994,7499.999915,49093.25029,2249.999974,2045.552095,1145.509173,15000,60392.77106,2394.114172,0,28859.92276,28859.92276,175000.0004,0,6222.937497,158228.6654,8447,13921.38859,50202.68747,59054.7733,88813.74959,3985.417973,30792.82676,1531453.892,56895.27726,12521.50617,63301.15207,19789.66166,11887.53959,13903.62248
2003,32598.51574,25151.21391,55538.26623,15364.04039,5844.949618,6039.442639,30678.77712,92628.97377,69058.26895,77281.75154,8312.953588,28847.20202,5360.600818,7658.001168,50208.10247,2297.40035,2092.00427,1171.522391,15313.86893,80917.42788,2448.481797,46296.29687,25771.34675,25771.34675,163555.5753,0,6266.669119,151670.6315,7997.278291,35655.89113,84033.48244,50132.25543,82695.92071,3523.982187,31552.7944,1515137.556,50307.88372,14124.81613,60904.8202,17498.39435,10511.18825,12050.06177
2004,32598.51574,25151.21391,55538.26623,15364.04039,5844.949618,6039.442639,30678.77712,92628.97377,69058.26895,77281.75154,8312.953588,28847.20202,5360.600818,7658.001168,50208.10247,2297.40035,2092.00427,1171.522391,15313.86893,80917.42788,2448.481797,46296.29687,25771.34675,25771.34675,163555.5753,0,6266.669119,151670.6315,7997.278291,35655.89113,84033.48244,50132.25543,82695.92071,3523.982187,31552.7944,1515137.556,50307.88372,14124.81613,60904.8202,17498.39435,10511.18825,12050.06177
2005,32598.51574,25151.21391,55538.26623,15364.04039,5844.949618,6039.442639,30678.77712,92628.97377,69058.26895,77281.75154,8312.953588,28847.20202,5360.600818,7658.001168,50208.10247,2297.40035,2092.00427,1171.522391,15313.86893,80917.42788,2448.481797,46296.29687,25771.34675,25771.34675,163555.5753,0,6266.669119,151670.6315,7997.278291,35655.89113,84033.48244,50132.25543,82695.92071,3523.982187,31552.7944,1515137.556,50307.88372,14124.81613,60904.8202,17498.39435,10511.18825,12050.06177
2006,32598.51574,25151.21391,55538.26623,15364.04039,5844.949618,6039.442639,30678.77712,92628.97377,69058.26895,77281.75154,8312.953588,28847.20202,5360.600818,7658.001168,50208.10247,2297.40035,2092.00427,1171.522391,15313.86893,80917.42788,2448.481797,46296.29687,25771.34675,25771.34675,163555.5753,0,6266.669119,151670.6315,7997.278291,35655.89113,84033.48244,50132.25543,82695.92071,3523.982187,31552.7944,1515137.556,50307.88372,14124.81613,60904.8202,17498.39435,10511.18825,12050.06177
2007,32598.51574,25151.21391,55538.26623,15364.04039,5844.949618,6039.442639,30678.77712,92628.97377,69058.26895,77281.75154,8312.953588,28847.20202,5360.600818,7658.001168,50208.10247,2297.40035,2092.00427,1171.522391,15313.86893,80917.42788,2448.481797,46296.29687,25771.34675,25771.34675,163555.5753,0,6266.669119,151670.6315,7997.278291,35655.89113,84033.48244,50132.25543,82695.92071,3523.982187,31552.7944,1515137.556,50307.88372,14124.81613,60904.8202,17498.39435,10511.18825,12050.06177
2008,32598.51574,25151.21391,55538.26623,15364.04039,5844.949618,6039.442639,30678.77712,92628.97377,69058.26895,77281.75154,8312.953588,28847.20202,5360.600818,7658.001168,50208.10247,2297.40035,2092.00427,1171.522391,15313.86893,80917.42788,2448.481797,46296.29687,25771.34675,25771.34675,163555.5753,0,6266.669119,151670.6315,7997.278291,35655.89113,84033.48244,50132.25543,82695.92071,3523.982187,31552.7944,1515137.556,50307.88372,14124.81613,60904.8202,17498.39435,10511.18825,12050.06177
2009,32598.51574,25151.21391,55538.26623,15364.04039,5844.949618,6039.442639,30678.77712,92628.97377,69058.26895,77281.75154,8312.953588,28847.20202,5360.600818,7658.001168,50208.10247,2297.40035,2092.00427,1171.522391,15313.86893,80917.42788,2448.481797,46296.29687,25771.34675,25771.34675,163555.5753,0,6266.669119,151670.6315,7997.278291,35655.89113,84033.48244,50132.25543,82695.92071,3523.982187,31552.7944,1515137.556,50307.88372,14124.81613,60904.8202,17498.39435,10511.18825,12050.06177
2010,32598.51574,25151.21391,55538.26623,15364.04039,5844.949618,6039.442639,30678.77712,92628.97377,69058.26895,77281.75154,8312.953588,28847.20202,5360.600818,7658.001168,50208.10247,2297.40035,2092.00427,1171.522391,15313.86893,80917.42788,2448.481797,46296.29687,25771.34675,25771.34675,163555.5753,0,6266.669119,151670.6315,7997.278291,35655.89113,84033.48244,50132.25543,82695.92071,3523.982187,31552.7944,1515137.556,50307.88372,14124.81613,60904.8202,17498.39435,10511.18825,12050.06177
2011,32598.51574,25151.21391,55538.26623,15364.04039,5844.949618,6039.442639,30678.77712,92628.97377,69058.26895,77281.75154,8312.953588,28847.20202,5360.600818,7658.001168,50208.10247,2297.40035,2092.00427,1171.522391,15313.86893,80917.42788,2448.481797,46296.29687,25771.34675,25771.34675,163555.5753,0,6266.669119,151670.6315,7997.278291,35655.89113,84033.48244,50132.25543,82695.92071,3523.982187,31552.7944,1515137.556,50307.88372,14124.81613,60904.8202,17498.39435,10511.18825,12050.06177
2012,32598.51574,25151.21391,55538.26623,15364.04039,5844.949618,6039.442639,30678.77712,92628.97377,69058.26895,77281.75154,8312.953588,28847.20202,5360.600818,7658.001168,50208.10247,2297.40035,2092.00427,1171.522391,15313.86893,80917.42788,2448.481797,46296.29687,25771.34675,25771.34675,163555.5753,0,6266.669119,151670.6315,7997.278291,35655.89113,84033.48244,50132.25543,82695.92071,3523.982187,31552.7944,1515137.556,50307.88372,14124.81613,60904.8202,17498.39435,10511.18825,12050.06177
2013,32598.51574,25151.21391,55538.26623,15364.04039,5844.949618,6039.442639,30678.77712,92628.97377,69058.26895,77281.75154,8312.953588,28847.20202,5360.600818,7658.001168,50208.10247,2297.40035,2092.00427,1171.522391,15313.86893,80917.42788,2448.481797,46296.29687,25771.34675,25771.34675,163555.5753,0,6266.669119,151670.6315,7997.278291,35655.89113,84033.48244,50132.25543,82695.92071,3523.982187,31552.7944,1515137.556,50307.88372,14124.81613,60904.8202,17498.39435,10511.18825,12050.06177
2014,32598.51574,25151.21391,55538.26623,15364.04039,5844.949618,6039.442639,30678.77712,92628.97377,69058.26895,77281.75154,8312.953588,28847.20202,5360.600818,7658.001168,50208.10247,2297.40035,2092.00427,1171.522391,15313.86893,80917.42788,2448.481797,46296.29687,25771.34675,25771.34675,163555.5753,0,6266.669119,151670.6315,7997.278291,35655.89113,84033.48244,50132.25543,82695.92071,3523.982187,31552.7944,1515137.556,50307.88372,14124.81613,60904.8202,17498.39435,10511.18825,12050.06177
2015,32598.51574,25151.21391,55538.26623,15364.04039,5844.949618,6039.442639,30678.77712,92628.97377,69058.26895,77281.75154,8312.953588,28847.20202,5360.600818,7658.001168,50208.10247,2297.40035,2092.00427,1171.522391,15313.86893,80917.42788,2448.481797,46296.29687,25771.34675,25771.34675,163555.5753,0,6266.669119,151670.6315,7997.278291,35655.89113,84033.48244,50132.25543,82695.92071,3523.982187,31552.7944,1515137.556,50307.88372,14124.81613,60904.8202,17498.39435,10511.18825,12050.06177
