,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
Cost ($/acre-foot),33.81,41.4,34.55,33.99,0,40.1,23.29,33.74,36.26,33.59,234.39,17.03,67.78,123.57,30.59,121.58,31.21,31.9,42.62,11.84,95.82,33.59,29.4,20.65,37.01,104.88,35.47,42.54,131.89,118.18,98.97,68.7,119.58,114.93,96.2,80.96,170.54,140.6,109.16,96.9,253.12,135.22
Year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year,acre-feet/year
1930,30499.99934,24048.32975,45999.99953,14253.48368,3608.748846,3774.999973,24060.16536,82499.99796,52867.61861,70100.00172,5176.500029,17822.41783,3499.999913,4999.999875,28780.72076,1499.999963,1199.196698,671.550151,10000,50405.36411,1403.539816,0,15755.45234,15755.45234,175000.0004,61906.997,4148.624993,97189.35672,8447,13423.33044,53043.35714,30801.34235,51899.21012,2175.752933,20913.48736,1062286.291,31060.74914,8853.063803,38488.31959,10803.73869,6489.745872,7474.554223
1931,30511.38331,18812.41626,46052.03649,17707.50009,3379.780535,3787.27718,20200.09956,82556.9136,51035.18308,70139.35255,5201.862803,16691.61909,3511.382778,5016.261111,15000,1504.878333,625,350,10000,47361.09095,731.5,0,14755.79878,14755.79878,184000.182,61877.00022,4162.117308,95003.31094,8447,12306.45786,49677.85531,29105.71904,48606.30419,2037.705525,19586.56584,1021229.352,29090.00275,8291.353521,36046.30876,10118.26177,6077.983809,7049.828965
1932,30500.00005,24049.45163,45999.99902,17120.85651,2833.511076,3774.999977,22549.92304,82499.99837,48610.6849,70100.00069,5180.7499,13993.77496,3499.999913,4999.999875,59524.08897,1499.999963,2480.170374,1388.895409,10000,39597.69488,2902.791406,0,13370.83889,13370.83889,184000.1821,0,4148.624993,93130.75269,7321.360531,6992.156916,41648.48977,24213.83513,40750.13118,1708.353928,16420.8153,861569.137,24388.22483,6951.233082,30220.19136,8482.860801,5095.607306,5875.40732
1933,30499.99987,17973.17234,45999.999,16606.06215,4074.467377,3774.999998,20294.80069,82499.99802,50377.62546,70100.00231,4896.000011,20122.44788,3499.999913,4999.999875,45712.51834,1499.999963,1904.688264,1066.625428,10000,39553.59394,2229.247145,0,19788.735,19788.735,184000.1821,41214.99819,4148.624993,110030.5052,8447,7236.07096,61010.6722,34860.76349,60596.93961,2456.539631,28612.42819,1166195.152,35069.21984,6119.050909,43455.33824,12197.98979,7327.264561,8457.06287
1934,30873.3249,12157.8145,46173.95415,17550.69392,2352.086181,3809.977393,17101.07603,82688.38717,58704.73748,70881.71572,3692.108486,10071.28048,3873.324673,5533.320962,28871.24952,1659.996288,1202.96873,673.6624888,11052.6,33137.17687,1407.954602,0,10268.98398,10268.98398,184000.1821,56648.99723,4591.134852,90491.6703,6312.606451,5815.491015,34572.24495,20539.91587,33826.52108,1418.097769,13630.85349,693536.8455,20244.56777,5770.190831,25085.65963,7041.588838,4229.843265,4963.098463
1935,31591.84076,25106.472,51041.35883,13213.78926,7702.166025,4999.899143,33742.72113,88024.94435,63203.56454,73950.40767,6975.342329,38038.45412,4596.671112,6566.673017,59524.08865,1970.001905,2480.17036,1388.895402,12858.83333,107585.0452,2902.79139,0,33626.92232,33626.92232,175000.0006,0,5326.111141,156678.1602,8447,33623.44236,113210.6392,65773.84619,102842.3362,4643.717694,35108.10876,1907023.082,66293.07499,18895.12772,73018.45815,23058.46076,13851.0894,15954.72553
1936,32249.99997,25574.57984,54000.00076,15200.64223,6878.71976,5662.500018,32694.38493,91249.99831,58461.7743,76150.00222,7771.125017,33971.72292,5249.99994,7499.999915,58571.70356,2249.999974,2440.487648,1366.673083,15000,96162.9395,2856.346744,0,30031.83277,30031.83277,162000.1637,0,6222.937497,161018.9266,8447,48258.30975,101107.1702,58874.97192,99773.69949,4147.253089,38654.09959,1687972.578,59205.61394,16875.0301,74173.9928,20593.25709,12370.25479,14274.70161
1937,32173.61575,25566.03905,53682.55855,15332.97305,6324.912502,5610.072493,33093.15076,90909.74144,79994.79199,75933.94097,7758.949623,35683.44579,5185.391348,7407.701925,58928.84795,2222.310578,2455.368665,1375.006452,14669.51667,96784.80441,2873.763485,75000.00088,31872.80493,31872.80493,175000.0004,0,6040.963105,160476.1067,8447,27688.43926,93967.01247,64207.66536,93959.87684,3813.356888,38104.72455,1975273.197,54438.95689,15516.41769,70748.31984,19548.40114,11374.32298,14867.99166
1938,34000.00022,27096.9519,61999.99988,14452.13812,9619.999689,7549.999961,39220.18118,100000.0007,72366.66593,82200.00001,10361.49983,43063.20748,6999.999826,9999.999751,59524.08914,2999.999925,2480.170381,1388.895413,20000,126842.4578,2902.791414,75000.00088,39741.15803,39741.15803,148999.8505,0,8297.249986,216736.2394,8447,69048.73834,142400.0008,73075.23662,131924.77,5800.000001,47013.37503,2248714.234,82800.00051,23599.99987,95074.05439,28186.88832,17300.00016,18449.17614
1939,32250.00016,20323.74738,54000.00072,17700.00046,3613.770216,5662.50001,22898.38135,91250.00004,61541.32314,76149.999,7771.124894,17847.21717,5249.99994,7499.999915,46296.40648,2249.999974,1929.016937,1080.249485,15000,50093.33755,2257.721423,75000.00106,15777.37582,15777.37582,162000.163,41384.99811,5704.74039,119625.6762,8447,21894.55551,53117.1641,30549.41709,61871.42595,2178.780419,30440.15411,1027034.794,31103.96873,8865.382335,49766.77265,10818.77171,6498.776168,7365.189733
