Year,Butte County,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1964,,BN,D,BN,BN,BN,AN,D,BN,BN,BN,D,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,W,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN
1965,,AN,BN,AN,BN,BN,AN,BN,AN,AN,AN,BN,BN,AN,AN,BN,AN,AN,BN,BN,W,AN,AN,BN,AN,AN,BN,AN,AN,AN,AN,AN,AN,AN,AN,BN,AN,AN,AN,AN,AN,BN,AN
1966,,C,C,C,D,C,C,C,C,C,C,C,C,D,D,C,D,D,C,C,D,D,D,C,D,C,C,D,D,D,D,D,D,D,D,C,D,C,D,D,BN,C,D
1967,,AN,BN,BN,AN,BN,AN,AN,AN,AN,AN,BN,AN,AN,AN,AN,BN,W,W,AN,AN,W,AN,AN,AN,AN,AN,AN,AN,AN,W,AN,AN,AN,AN,AN,AN,AN,W,AN,AN,AN,W
1968,,AN,BN,BN,BN,BN,BN,BN,BN,AN,BN,BN,BN,BN,BN,BN,BN,BN,AN,AN,BN,BN,AN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,D,BN,D,BN,BN,BN,BN,BN,BN,BN
1969,,BN,D,BN,BN,D,D,BN,D,BN,BN,D,BN,BN,BN,BN,BN,AN,AN,BN,AN,AN,BN,D,D,BN,D,BN,BN,BN,BN,BN,BN,BN,AN,AN,BN,AN,BN,BN,BN,AN,BN
1970,,BN,D,BN,BN,D,BN,D,D,BN,D,D,D,BN,BN,BN,BN,BN,BN,D,BN,BN,BN,D,BN,BN,D,D,D,BN,BN,BN,D,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN
1971,,BN,BN,BN,BN,BN,BN,BN,AN,BN,BN,BN,BN,BN,BN,BN,BN,BN,AN,BN,BN,AN,BN,BN,BN,BN,D,BN,BN,BN,BN,BN,BN,BN,BN,D,BN,BN,BN,BN,BN,BN,BN
1972,,BN,AN,BN,BN,BN,BN,BN,BN,BN,BN,AN,BN,D,BN,D,D,BN,D,BN,D,BN,D,BN,BN,BN,BN,D,D,D,D,C,D,D,D,D,C,D,D,D,D,D,C
1973,,AN,BN,AN,AN,BN,BN,BN,BN,AN,AN,BN,BN,AN,W,AN,AN,AN,AN,AN,AN,AN,AN,AN,BN,AN,BN,AN,AN,AN,W,AN,AN,D,BN,BN,AN,BN,AN,AN,AN,AN,AN
1974,,AN,BN,AN,AN,AN,AN,BN,AN,AN,AN,BN,AN,BN,BN,BN,BN,BN,BN,D,BN,BN,BN,BN,AN,BN,AN,AN,AN,BN,BN,BN,AN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN
1975,,AN,AN,AN,BN,AN,W,AN,AN,AN,AN,AN,AN,BN,BN,AN,BN,BN,AN,AN,BN,BN,AN,AN,AN,AN,AN,W,AN,BN,AN,BN,AN,BN,AN,BN,AN,BN,BN,AN,AN,BN,AN
1976,,D,D,D,D,D,D,D,D,D,D,D,D,AN,AN,BN,AN,BN,BN,BN,BN,BN,BN,D,D,D,D,BN,BN,BN,BN,BN,BN,AN,BN,BN,BN,BN,BN,BN,BN,BN,BN
1977,,BN,BN,BN,BN,BN,BN,BN,AN,BN,BN,BN,BN,BN,BN,D,BN,D,C,BN,BN,BN,D,BN,BN,D,BN,D,D,D,BN,AN,D,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN
1978,,AN,BN,AN,AN,AN,AN,AN,AN,AN,AN,BN,AN,W,W,W,W,W,W,AN,W,W,AN,BN,BN,BN,BN,AN,AN,W,W,W,AN,W,W,W,W,W,W,W,W,W,W
1979,,AN,AN,AN,AN,W,AN,AN,AN,AN,AN,AN,AN,BN,BN,BN,BN,BN,BN,AN,BN,BN,BN,AN,AN,AN,AN,AN,AN,AN,AN,BN,AN,BN,BN,AN,BN,BN,BN,BN,BN,AN,AN
1980,,BN,BN,BN,BN,BN,BN,BN,AN,BN,BN,BN,BN,BN,AN,BN,BN,BN,BN,BN,AN,AN,BN,BN,BN,BN,BN,AN,BN,BN,BN,BN,BN,AN,AN,BN,BN,AN,AN,BN,BN,BN,BN
1981,,AN,AN,AN,AN,AN,AN,BN,AN,AN,AN,AN,AN,BN,BN,AN,AN,AN,AN,AN,BN,AN,AN,AN,AN,BN,BN,W,BN,AN,AN,AN,BN,D,BN,BN,AN,BN,BN,BN,AN,BN,AN
1982,,W,AN,W,W,W,W,W,W,W,W,AN,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
1983,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
1984,,D,BN,D,D,D,BN,BN,BN,D,D,BN,D,D,D,BN,D,BN,D,D,D,D,D,D,BN,D,BN,D,D,C,C,D,D,BN,D,D,C,BN,C,C,C,D,D
