Variable,Contractor,2025,2030,2035,2040,2045,Notes
Groundwater max put capacity (acre-feet),Palmdale Water District & Littlerock Creek Irrigation District,1,1,1,1,1,
Groundwater max put capacity (acre-feet),San Bernardino Valley Municipal Water District,1,1,1,1,1,
Groundwater max put capacity (acre-feet),San Gabriel Valley Municipal Water District,1,1,1,1,1,
Groundwater max put capacity (acre-feet),San Gorgonio Pass Water Agency,1,1,1,1,1,
Groundwater max put capacity (acre-feet),Ventura County Watershed Protection District,1,1,1,1,1,
Groundwater max take capacity (acre-feet),City of Folsom,1,1,1,1,1,
Groundwater max take capacity (acre-feet),City of Redding,1,1,1,1,1,
Groundwater max take capacity (acre-feet),City of Roseville,1,1,1,1,1,
Groundwater max take capacity (acre-feet),City of West Sacramento,1,1,1,1,1,
Groundwater max take capacity (acre-feet),Yuba City,1,1,1,1,1,
Groundwater max take capacity (acre-feet),El Dorado Irrigation District,1,1,1,1,1,
Groundwater max take capacity (acre-feet),Napa County Flood Control & Water Conservation District,1,1,1,1,1,
Groundwater max take capacity (acre-feet),Placer County Water Agency,1,1,1,1,1,
Groundwater max take capacity (acre-feet),Sacramento County Water Agency,1,1,1,1,1,
Groundwater max take capacity (acre-feet),San Juan Water District,1,1,1,1,1,
Groundwater max take capacity (acre-feet),Shasta Contractors,1,1,1,1,1,
Groundwater max take capacity (acre-feet),Solano County Water Agency,1,1,1,1,1,
Groundwater max take capacity (acre-feet),City of Avenal,1,1,1,1,1,
Groundwater max take capacity (acre-feet),City of Coalinga,1,1,1,1,1,
Groundwater max take capacity (acre-feet),City of Fresno,1,1,1,1,1,
Groundwater max take capacity (acre-feet),City of Huron,1,1,1,1,1,
Groundwater max take capacity (acre-feet),City of Lindsay,1,1,1,1,1,
Groundwater max take capacity (acre-feet),City of Orange Cove,1,1,1,1,1,
