Variable,Contractor,Cut Ratio,Landscape,Notes
Commercial,City of Fresno,0.55,,
Commercial,City of Huron,0.55,,
Commercial,City of Lindsay,0.55,,
Commercial,City of Orange Cove,0.55,,
Commercial,City of Tracy,0.55,,
Commercial,Kern County Water Agency Improvement District No 4,0.55,,
Commercial,Other Friant-Kern M&I Contractors,0.55,,
Commercial,Stockton-East Water District,0.55,,
Commercial,"Alameda County Flood Control and Water Conservation District, Zone 7",0.55,,
Commercial,Alameda County Water District,0.55,,
Commercial,Contra Costa Water District,0.55,,
Commercial,East Bay Municipal Utilities District,0.55,,
Commercial,"San Benito County Water District, Zone 6",0.55,,
Commercial,Santa Clara Valley Water District,0.55,,
Commercial,San Luis Obispo County Flood Control & Water Conservation District,0.55,,
Commercial,Santa Barbara County Flood Control & Water Conservation District,0.55,,
Commercial,Antelope Valley-East Kern Water Agency,0.55,,
Commercial,Santa Clarita Water Division,0.55,,
Commercial,Coachella Valley Water District,0.55,,
Commercial,Crestline-Lake Arrowhead Water Agency,0.55,,
Commercial,Desert Water Agency,0.55,,
Commercial,Metropolitan Water District of Southern California,0.55,,
Commercial,Mojave Water Agency,0.55,,
Commercial,Palmdale Water District & Littlerock Creek Irrigation District,0.55,,
Commercial,San Bernardino Valley Municipal Water District,0.55,,
Commercial,San Gabriel Valley Municipal Water District,0.55,,
Commercial,San Gorgonio Pass Water Agency,0.55,,
Commercial,Ventura County Watershed Protection District,0.55,,
Landscape,Butte County,1.6,,
Landscape,City of Folsom,1.6,,
Landscape,City of Redding,1.6,,
Landscape,City of Roseville,1.6,,
Landscape,City of West Sacramento,1.6,,
Landscape,Yuba City,1.6,,
Landscape,El Dorado Irrigation District,1.6,,
Landscape,Napa County Flood Control & Water Conservation District,1.6,,
Landscape,Placer County Water Agency,1.6,,
Landscape,Sacramento County Water Agency,1.6,,
Landscape,San Juan Water District,1.6,,
Landscape,Shasta Contractors,1.6,,
Landscape,Solano County Water Agency,1.6,,
Landscape,City of Avenal,1.6,,
Landscape,City of Coalinga,1.6,,
Landscape,City of Fresno,1.6,,
Landscape,City of Huron,1.6,,
Landscape,City of Lindsay,1.6,,
Landscape,City of Orange Cove,1.6,,
Landscape,City of Tracy,1.6,,
Landscape,Kern County Water Agency Improvement District No 4,1.6,,
Landscape,Other Friant-Kern M&I Contractors,1.6,,
Landscape,Stockton-East Water District,1.6,,
Landscape,"Alameda County Flood Control and Water Conservation District, Zone 7",1.6,,
Landscape,Alameda County Water District,1.6,,
Landscape,Contra Costa Water District,1.6,,
Landscape,East Bay Municipal Utilities District,1.6,,
Landscape,"San Benito County Water District, Zone 6",1.6,,
Landscape,Santa Clara Valley Water District,1.6,,
Landscape,San Luis Obispo County Flood Control & Water Conservation District,1.6,,
Landscape,Santa Barbara County Flood Control & Water Conservation District,1.6,,
Landscape,Antelope Valley-East Kern Water Agency,1.6,,
Landscape,Santa Clarita Water Division,1.6,,
Landscape,Coachella Valley Water District,1.6,,
Landscape,Crestline-Lake Arrowhead Water Agency,1.6,,
Landscape,Desert Water Agency,1.6,,
Landscape,Metropolitan Water District of Southern California,1.6,,
Landscape,Mojave Water Agency,1.6,,
Landscape,Palmdale Water District & Littlerock Creek Irrigation District,1.6,,
Landscape,San Bernardino Valley Municipal Water District,1.6,,
Landscape,San Gabriel Valley Municipal Water District,1.6,,
Landscape,San Gorgonio Pass Water Agency,1.6,,
Landscape,Ventura County Watershed Protection District,1.6,,
