Variable,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Industrial Use (AFY),Central Valley - Sacramento Valley,City of Roseville,4175,4726,5123,5123,5123,
Industrial Use (AFY),Central Valley - Sacramento Valley,City of West Sacramento,0,0,0,0,0,
Industrial Use (AFY),Central Valley - Sacramento Valley,Yuba City,1750,1750,1750,1750,1750,
Industrial Use (AFY),Central Valley - Sacramento Valley,El Dorado Irrigation District,0,0,0,0,0,
Industrial Use (AFY),Central Valley - Sacramento Valley,Placer County Water Agency,898,1347,1796,2245,2694,
Industrial Use (AFY),Central Valley - Sacramento Valley,Sacramento County Water Agency,550,550,550,550,550,
Industrial Use (AFY),Central Valley - Sacramento Valley,San Juan Water District,502,502,502,502,502,
Industrial Use (AFY),Central Valley - San Joaquin Valley,City of Coalinga,0,0,0,0,0,
Industrial Use (AFY),Central Valley - San Joaquin Valley,City of Fresno,7410,9003,9922,10841,11758,
Industrial Use (AFY),Central Valley - San Joaquin Valley,City of Tracy,1724.2,2521.46,3315.37,4108.27,5138.22,
Industrial Use (AFY),Central Valley - San Joaquin Valley,Stockton-East Water District,4958,7358,7637,7916,7916,
Industrial Use (AFY),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",66,68,70,72,72,
Industrial Use (AFY),San Francisco Bay Area,Alameda County Water District,3200,3000,3000,3100,4100,
Industrial Use (AFY),San Francisco Bay Area,Contra Costa Water District,39100,40700,42300,43900,44400,
Industrial Use (AFY),San Francisco Bay Area,East Bay Municipal Utilities District,0,0,0,0,0,
Industrial Use (AFY),San Francisco Bay Area,"San Benito County Water District, Zone 6",158,158,158,158,158,
Industrial Use (AFY),San Francisco Bay Area,Santa Clara Valley Water District,0,0,0,0,0,
Industrial Use (AFY),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,15,16,17,18,19,
Industrial Use (AFY),Southern California,Antelope Valley-East Kern Water Agency,2585.553719,2999.005978,3075.384879,3296.570167,3438.724356,
Industrial Use (AFY),Southern California,Santa Clarita Water Division,5523.99813,5523.99813,6444.664485,7058.442055,7672.219625,
Industrial Use (AFY),Southern California,Metropolitan Water District of Southern California,263000,261000,262500,260000,255000,
Industrial Use (AFY),Southern California,Mojave Water Agency,183.5,185.5,188.5,189.7,192.7,
Industrial Use (AFY),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,1350,1390,1480,1590,1700,
Industrial Use (AFY),Southern California,San Bernardino Valley Municipal Water District,0,0,0,0,0,
Industrial Use (AFY),Southern California,San Gorgonio Pass Water Agency,230,253,272,289,303,
Commercial and Governmental Use (AFY),Central Valley - Sacramento Valley,City of Folsom,6420,7129,7550,7853,8018,
Commercial and Governmental Use (AFY),Central Valley - Sacramento Valley,City of Redding,2231,2278,2326,2374,2425,
Commercial and Governmental Use (AFY),Central Valley - Sacramento Valley,City of Roseville,15039,16002,17338,17338,17338,
Commercial and Governmental Use (AFY),Central Valley - Sacramento Valley,City of West Sacramento,0,0,0,0,0,
