Year,Butte County,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency Improvement District No 4,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1942,0,34000,27100,62000,12993,7071,7550,35342,100000,72955,82200,10361,32309,7000,10000,59524,3000,2480,1389,20000,95090,2903,75000,29086,29086,149000,0,8297,190739,8447,49158,103930,56086,96791,4263,33189,1630919,60859,17346,68797,20829,12716,13992
1943,0,33193,26399,58312,15308,8535,6680,36108,95966,74401,79411,9175,41295,6193,8847,58572,2654,2440,1367,17684,116853,2856,75000,36541,36541,149000,0,7341,193477,8447,61199,117002,69664,90879,5146,45479,1701663,73459,20938,89128,25417,15348,15855
1944,0,30907,24405,47859,15103,3451,4214,26422,84534,65588,71506,5783,17044,3907,5581,53232,1674,2218,1242,11110,48819,2596,75000,15068,15068,175000,0,4631,102487,8447,12700,50728,30041,50214,2081,20234,1024362,29705,8467,37239,10332,6206,7342
1945,0,32250,25582,54000,14607,7183,5663,35257,91250,72686,76150,7784,37566,5250,7500,59524,2250,2480,1389,15000,104413,2903,75000,33803,33803,162000,0,6223,169890,8447,51379,106587,68541,95917,4331,32744,1999705,61829,17623,68101,21779,12918,15763
1946,0,33442,26637,59466,16777,6615,6962,33956,97231,72331,80295,9580,30581,6138,8768,57917,2630,2413,1351,17504,88214,2824,75000,27441,27441,157000,0,7252,171383,8447,45430,97235,49406,96239,3988,37479,1575079,56938,16229,71659,19532,11897,12785
1947,0,31574,25028,50937,15138,3933,4958,21868,87906,49117,73853,6841,19423,4584,6549,54044,1965,2252,1261,12922,54997,2636,75000,17171,17171,175000,0,5347,117800,8447,15028,57808,33727,62853,2371,28274,1148256,33851,9648,49031,11774,7073,8167
1948,0,32504,25883,55222,13697,6430,5994,34937,92600,71768,77120,8379,31755,5129,7327,35767,2198,1490,835,14014,89903,1744,0,28072,28072,162000,0,5940,152285,8447,44644,94509,55066,87611,3877,31422,1633589,55342,15774,62981,19249,11563,13348
1949,0,32214,25565,53852,15886,2107,5638,16361,91092,61429,76049,7757,10408,5220,7457,47082,2237,1962,1099,14849,29618,2296,0,9201,9201,175000,0,6138,110202,5592,5208,30976,18252,35167,1271,16357,633521,18139,5170,27784,6309,3790,4423
1950,0,32011,25385,52918,15655,6684,5415,34175,90069,69428,75341,7452,37513,5015,7164,54835,2149,2285,1279,13928,101682,2674,0,33445,33445,175000,0,5906,163850,8447,29452,98247,67121,89286,4030,30512,1902256,57531,16398,63410,20626,12020,15567
1951,0,33821,26936,61181,15668,7668,7357,38909,99105,78095,81581,10088,37418,6273,8962,55343,2689,2306,1291,17906,106427,2699,75000,34166,34166,157000,0,6713,179907,8447,54487,113711,64746,108214,4623,39899,1983358,66000,18812,78532,22897,13790,15758
1952,0,34000,27086,62000,14901,9299,7550,38351,100000,76665,82200,10345,42875,7000,10000,60000,3000,2500,1400,20000,125528,2926,75000,38277,38277,149000,0,8297,212091,8447,66983,127950,77415,132059,5607,49649,2118802,80040,19597,97082,27402,16723,17196
1953,0,33886,27085,61503,14695,5710,7451,31519,99462,72385,81844,10338,27199,5250,7500,58249,2250,2427,1359,15000,77434,2841,75000,24300,24300,149000,0,6223,148127,8447,38450,83923,42932,88204,3442,35543,1562009,49143,14007,65412,16975,10268,11277
